theta,A2,phi,a,b,z,status
60.0,-10.0,87.0,5.8,8.5,-1.0,NotYet
60.0,-10.0,87.0,5.8,8.5,-0.8,NotYet
60.0,-10.0,66.0,5.8,8.5,-0.6,NotYet
60.0,-10.0,66.0,5.7,8.5,-0.4,NotYet
60.0,-10.0,66.0,5.7,8.5,-0.2,NotYet
60.0,-10.0,66.0,5.7,8.5,0.0,NotYet
60.0,-10.0,66.0,5.7,8.5,0.2,NotYet
60.0,-10.0,132.0,5.7,8.5,0.4,NotYet
60.0,-10.0,140.0,5.7,8.4,0.6,NotYet
60.0,-10.0,91.0,5.7,8.4,0.8,NotYet
60.0,-10.0,91.0,5.7,8.4,1.0,NotYet
60.0,-8.0,93.0,5.7,8.4,-1.0,NotYet
60.0,-8.0,92.0,5.7,8.4,-0.8,NotYet
60.0,-8.0,92.0,5.7,8.4,-0.6,NotYet
60.0,-8.0,92.0,5.7,8.4,-0.4,NotYet
60.0,-8.0,92.0,5.7,8.4,-0.2,NotYet
60.0,-8.0,92.0,5.7,8.4,0.0,NotYet
60.0,-8.0,71.0,5.7,8.4,0.2,NotYet
60.0,-8.0,71.0,5.7,8.4,0.4,NotYet
60.0,-8.0,83.0,5.7,8.4,0.6,NotYet
60.0,-8.0,84.0,5.7,8.4,0.8,NotYet
60.0,-8.0,85.0,5.7,8.4,1.0,NotYet
60.0,-6.0,77.0,5.7,8.3,-1.0,NotYet
60.0,-6.0,77.0,5.7,8.3,-0.8,NotYet
60.0,-6.0,77.0,5.7,8.3,-0.6,NotYet
60.0,-6.0,77.0,5.7,8.3,-0.4,NotYet
60.0,-6.0,77.0,5.7,8.3,-0.2,NotYet
60.0,-6.0,77.0,5.7,8.3,0.0,NotYet
60.0,-6.0,77.0,5.7,8.3,0.2,NotYet
60.0,-6.0,77.0,5.7,8.3,0.4,NotYet
60.0,-6.0,86.0,5.7,8.3,0.6,NotYet
60.0,-6.0,88.0,5.7,8.3,0.8,NotYet
60.0,-6.0,89.0,5.7,8.3,1.0,NotYet
60.0,-4.0,83.0,5.7,8.3,-1.0,NotYet
60.0,-4.0,83.0,5.7,8.3,-0.8,NotYet
60.0,-4.0,83.0,5.7,8.3,-0.6,NotYet
60.0,-4.0,83.0,5.7,8.3,-0.4,NotYet
60.0,-4.0,83.0,5.7,8.3,-0.2,NotYet
60.0,-4.0,83.0,5.7,8.2,0.0,NotYet
60.0,-4.0,83.0,5.7,8.2,0.2,NotYet
60.0,-4.0,83.0,5.7,8.2,0.4,NotYet
60.0,-4.0,83.0,5.7,8.2,0.6,NotYet
60.0,-4.0,93.0,5.8,8.2,0.8,NotYet
60.0,-4.0,94.0,5.8,8.2,1.0,NotYet
60.0,-2.0,90.0,5.8,8.2,-1.0,NotYet
60.0,-2.0,90.0,5.8,8.2,-0.8,NotYet
60.0,-2.0,90.0,5.8,8.2,-0.6,NotYet
60.0,-2.0,90.0,5.8,8.2,-0.4,NotYet
60.0,-2.0,90.0,5.8,8.2,-0.2,NotYet
60.0,-2.0,90.0,5.8,8.2,0.0,NotYet
60.0,-2.0,90.0,5.8,8.2,0.2,NotYet
60.0,-2.0,90.0,5.8,8.2,0.4,NotYet
60.0,-2.0,90.0,5.8,8.2,0.6,NotYet
60.0,-2.0,89.0,5.8,8.2,0.8,NotYet
60.0,-2.0,89.0,5.8,8.2,1.0,NotYet
60.0,0.0,90.0,5.8,8.2,-1.0,NotYet
60.0,0.0,94.0,5.8,8.2,-0.8,NotYet
60.0,0.0,94.0,5.8,8.2,-0.6,NotYet
60.0,0.0,94.0,5.8,8.2,-0.4,NotYet
60.0,0.0,94.0,5.8,8.2,-0.2,NotYet
60.0,0.0,94.0,5.8,8.2,0.0,NotYet
60.0,0.0,94.0,5.9,8.1,0.2,NotYet
60.0,0.0,96.0,5.9,8.1,0.4,NotYet
60.0,0.0,96.0,5.9,8.1,0.6,NotYet
60.0,0.0,97.0,5.9,8.1,0.8,NotYet
60.0,0.0,97.0,5.9,8.1,1.0,NotYet
