theta,A2,a,b,z,status
30.0,-20.0,9.1,6.3,-4.0,NotYet
30.0,-18.0,8.9,6.3,-4.0,NotYet
30.0,-16.0,8.8,6.2,-4.0,NotYet
30.0,-14.0,8.6,6.1,-4.0,NotYet
30.0,-12.0,8.5,6.0,-4.0,NotYet
30.0,-10.0,8.4,5.9,-4.0,NotYet
30.0,-8.0,8.4,5.7,-4.0,NotYet
30.0,-6.0,8.4,5.6,-4.0,NotYet
30.0,-4.0,8.4,5.5,-4.0,NotYet
30.0,-2.0,8.5,5.3,-4.0,NotYet
30.0,0.0,8.6,5.2,-4.0,NotYet
30.0,2.0,8.7,5.1,-4.0,NotYet
30.0,4.0,8.8,5.0,-4.0,NotYet
30.0,6.0,9.0,4.8,-4.0,NotYet
30.0,8.0,9.1,4.7,-4.0,NotYet
30.0,10.0,9.3,4.5,-4.0,NotYet
30.0,12.0,9.4,4.4,-4.0,NotYet
30.0,14.0,9.5,4.2,-4.0,NotYet
30.0,16.0,9.6,4.1,-4.0,NotYet
30.0,18.0,9.8,3.9,-4.0,NotYet
30.0,20.0,9.8,3.8,-4.0,NotYet
30.0,-20.0,9.1,6.4,-3.8,NotYet
30.0,-18.0,8.9,6.3,-3.8,NotYet
30.0,-16.0,8.7,6.3,-3.8,NotYet
30.0,-14.0,8.6,6.2,-3.8,NotYet
30.0,-12.0,8.5,6.1,-3.8,NotYet
30.0,-10.0,8.4,6.0,-3.8,NotYet
30.0,-8.0,8.4,5.8,-3.8,NotYet
30.0,-6.0,8.3,5.7,-3.8,NotYet
30.0,-4.0,8.4,5.5,-3.8,NotYet
30.0,-2.0,8.5,5.4,-3.8,NotYet
30.0,0.0,8.6,5.3,-3.8,NotYet
30.0,2.0,8.7,5.1,-3.8,NotYet
30.0,4.0,8.8,5.0,-3.8,NotYet
30.0,6.0,8.9,4.9,-3.8,NotYet
30.0,8.0,9.1,4.7,-3.8,NotYet
30.0,10.0,9.2,4.6,-3.8,NotYet
30.0,12.0,9.4,4.4,-3.8,NotYet
30.0,14.0,9.5,4.3,-3.8,NotYet
30.0,16.0,9.6,4.2,-3.8,NotYet
30.0,18.0,9.7,4.1,-3.8,NotYet
30.0,20.0,9.7,4.1,-3.8,NotYet
30.0,-20.0,9.0,6.5,-3.6,NotYet
30.0,-18.0,8.9,6.4,-3.6,NotYet
30.0,-16.0,8.7,6.3,-3.6,NotYet
30.0,-14.0,8.5,6.3,-3.6,NotYet
30.0,-12.0,8.4,6.2,-3.6,NotYet
30.0,-10.0,8.4,6.0,-3.6,NotYet
30.0,-8.0,8.3,5.9,-3.6,NotYet
30.0,-6.0,8.3,5.8,-3.6,NotYet
30.0,-4.0,8.4,5.6,-3.6,NotYet
30.0,-2.0,8.5,5.4,-3.6,NotYet
30.0,0.0,8.6,5.3,-3.6,NotYet
30.0,2.0,8.7,5.2,-3.6,NotYet
30.0,4.0,8.8,5.0,-3.6,NotYet
30.0,6.0,8.9,4.9,-3.6,NotYet
30.0,8.0,9.1,4.8,-3.6,NotYet
30.0,10.0,9.2,4.7,-3.6,NotYet
30.0,12.0,9.3,4.6,-3.6,NotYet
30.0,14.0,9.4,4.5,-3.6,NotYet
30.0,16.0,9.5,4.4,-3.6,NotYet
30.0,18.0,9.5,4.3,-3.6,NotYet
30.0,20.0,9.6,4.3,-3.6,NotYet
30.0,-20.0,9.0,6.5,-3.4,NotYet
30.0,-18.0,8.9,6.4,-3.4,NotYet
30.0,-16.0,8.7,6.4,-3.4,NotYet
30.0,-14.0,8.5,6.3,-3.4,NotYet
30.0,-12.0,8.4,6.2,-3.4,NotYet
30.0,-10.0,8.3,6.1,-3.4,NotYet
30.0,-8.0,8.3,5.9,-3.4,NotYet
30.0,-6.0,8.3,5.8,-3.4,NotYet
30.0,-4.0,8.4,5.6,-3.4,NotYet
30.0,-2.0,8.4,5.5,-3.4,NotYet
30.0,0.0,8.6,5.3,-3.4,NotYet
30.0,2.0,8.7,5.2,-3.4,NotYet
30.0,4.0,8.8,5.1,-3.4,NotYet
30.0,6.0,8.9,5.0,-3.4,NotYet
30.0,8.0,9.0,4.9,-3.4,NotYet
30.0,10.0,9.1,4.8,-3.4,NotYet
30.0,12.0,9.2,4.7,-3.4,NotYet
30.0,14.0,9.3,4.6,-3.4,NotYet
30.0,16.0,9.4,4.5,-3.4,NotYet
30.0,18.0,9.4,4.5,-3.4,NotYet
30.0,20.0,9.6,4.4,-3.4,NotYet
30.0,-20.0,9.0,6.5,-3.2,NotYet
30.0,-18.0,8.9,6.4,-3.2,NotYet
30.0,-16.0,8.7,6.4,-3.2,NotYet
30.0,-14.0,8.5,6.3,-3.2,NotYet
30.0,-12.0,8.4,6.2,-3.2,NotYet
30.0,-10.0,8.4,6.0,-3.2,NotYet
30.0,-8.0,8.3,5.9,-3.2,NotYet
30.0,-6.0,8.4,5.7,-3.2,NotYet
30.0,-4.0,8.4,5.6,-3.2,NotYet
30.0,-2.0,8.4,5.5,-3.2,NotYet
30.0,0.0,8.6,5.3,-3.2,NotYet
30.0,2.0,8.7,5.2,-3.2,NotYet
30.0,4.0,8.8,5.1,-3.2,NotYet
30.0,6.0,8.8,5.1,-3.2,NotYet
30.0,8.0,8.9,5.0,-3.2,NotYet
30.0,10.0,9.0,4.9,-3.2,NotYet
30.0,12.0,9.1,4.8,-3.2,NotYet
30.0,14.0,9.2,4.7,-3.2,NotYet
30.0,16.0,9.3,4.7,-3.2,NotYet
30.0,18.0,9.4,4.6,-3.2,NotYet
30.0,20.0,9.6,4.5,-3.2,NotYet
30.0,-20.0,9.1,6.5,-3.0,NotYet
30.0,-18.0,8.9,6.4,-3.0,NotYet
30.0,-16.0,8.7,6.3,-3.0,NotYet
30.0,-14.0,8.6,6.2,-3.0,NotYet
30.0,-12.0,8.5,6.1,-3.0,NotYet
30.0,-10.0,8.4,6.0,-3.0,NotYet
30.0,-8.0,8.4,5.8,-3.0,NotYet
30.0,-6.0,8.4,5.7,-3.0,NotYet
30.0,-4.0,8.4,5.6,-3.0,NotYet
30.0,-2.0,8.4,5.5,-3.0,NotYet
30.0,0.0,8.5,5.4,-3.0,NotYet
30.0,2.0,8.6,5.3,-3.0,NotYet
30.0,4.0,8.7,5.2,-3.0,NotYet
30.0,6.0,8.7,5.2,-3.0,NotYet
30.0,8.0,8.8,5.1,-3.0,NotYet
30.0,10.0,8.9,5.0,-3.0,NotYet
30.0,12.0,9.1,4.9,-3.0,NotYet
30.0,14.0,9.1,4.9,-3.0,NotYet
30.0,16.0,9.3,4.8,-3.0,NotYet
30.0,18.0,9.5,4.7,-3.0,NotYet
