cx,cy,cz,theta,a,b,z,status
-3.5,1.1,8.7,45,7.0,4.8,-1.3,NotYet
-3.4,1.1,8.7,45,7.0,4.8,-1.3,NotYet
-3.3,1.1,8.7,45,7.0,4.8,-1.3,NotYet
-3.2,1.1,8.7,45,7.0,4.8,-1.3,NotYet
-3.1,1.1,8.6,45,7.0,4.8,-1.3,NotYet
-3.0,1.1,8.6,45,7.0,4.8,-1.3,NotYet
-2.9,1.1,8.7,45,7.0,4.8,-1.3,NotYet
-2.8,1.2,8.7,45,7.0,4.8,-1.3,NotYet
-2.7,0.3,9.2,45,7.0,4.8,-1.3,NotYet
-2.6,0.3,9.3,45,7.0,4.8,-1.3,NotYet
-2.5,0.2,9.4,45,7.0,4.8,-1.3,NotYet
-2.4,0.2,9.4,45,7.0,4.8,-1.3,NotYet
-2.3,0.1,9.5,45,7.0,4.8,-1.3,NotYet
-2.2,0.0,9.7,45,7.0,4.8,-1.3,NotYet
-2.1,1.8,8.7,45,7.0,4.8,-1.3,NotYet
-2.0,1.9,8.7,45,7.0,4.8,-1.3,NotYet
-1.9,2.0,8.6,45,7.0,4.8,-1.3,NotYet
-1.8,2.1,8.6,45,7.0,4.8,-1.3,NotYet
-1.7,2.2,8.5,45,7.0,4.8,-1.3,NotYet
-1.6,2.3,8.5,45,7.0,4.8,-1.3,NotYet
-1.5,-2.4,11.0,45,7.0,4.8,-1.3,NotYet
-1.4,2.4,8.4,45,7.0,4.8,-1.3,NotYet
-1.3,-2.3,10.9,45,7.0,4.8,-1.3,NotYet
-1.2,-2.3,10.9,45,7.0,4.8,-1.3,NotYet
-1.1,-2.2,10.9,45,7.0,4.8,-1.3,NotYet
-1.0,-2.2,10.8,45,7.0,4.8,-1.3,NotYet
-0.9,-2.1,10.8,45,7.0,4.8,-1.3,NotYet
-0.8,-2.1,10.7,45,7.0,4.8,-1.3,NotYet
-0.7,-2.1,10.7,45,7.0,4.8,-1.3,NotYet
-0.6,-1.1,10.1,45,7.0,4.8,-1.3,NotYet
-0.5,-1.2,10.1,45,7.0,4.8,-1.3,NotYet
-0.4,-1.3,10.1,45,7.0,4.8,-1.3,NotYet
-0.3,-1.3,10.0,45,7.0,4.8,-1.3,NotYet
-0.2,-1.3,10.0,45,7.0,4.8,-1.3,NotYet
-0.1,-1.3,10.0,45,7.0,4.8,-1.3,NotYet
0.0,-1.3,10.0,45,7.0,4.8,-1.3,NotYet
0.1,-1.3,10.0,45,7.0,4.8,-1.3,NotYet
0.2,-1.3,10.0,45,7.0,4.8,-1.3,NotYet
0.3,-1.3,10.0,45,7.0,4.8,-1.3,NotYet
0.4,-1.3,10.1,45,7.0,4.8,-1.3,NotYet
0.5,-1.2,10.1,45,7.0,4.8,-1.3,NotYet
0.6,-1.1,10.1,45,7.0,4.8,-1.3,NotYet
0.7,-2.1,10.7,45,7.0,4.8,-1.3,NotYet
0.8,-2.1,10.7,45,7.0,4.8,-1.3,NotYet
0.9,-2.1,10.8,45,7.0,4.8,-1.3,NotYet
1.0,-2.2,10.8,45,7.0,4.8,-1.3,NotYet
1.1,-2.2,10.9,45,7.0,4.8,-1.3,NotYet
1.2,-2.3,10.9,45,7.0,4.8,-1.3,NotYet
1.3,-2.3,10.9,45,7.0,4.8,-1.3,NotYet
1.4,2.4,8.4,45,7.0,4.8,-1.3,NotYet
1.5,2.4,8.4,45,7.0,4.8,-1.3,NotYet
1.6,2.3,8.5,45,7.0,4.8,-1.3,NotYet
1.7,2.2,8.5,45,7.0,4.8,-1.3,NotYet
1.8,2.1,8.6,45,7.0,4.8,-1.3,NotYet
1.9,2.0,8.6,45,7.0,4.8,-1.3,NotYet
2.0,1.9,8.7,45,7.0,4.8,-1.3,NotYet
2.1,1.8,8.7,45,7.0,4.8,-1.3,NotYet
2.2,0.0,9.7,45,7.0,4.8,-1.3,NotYet
2.3,0.1,9.5,45,7.0,4.8,-1.3,NotYet
2.4,0.2,9.4,45,7.0,4.8,-1.3,NotYet
2.5,0.2,9.4,45,7.0,4.8,-1.3,NotYet
2.6,0.3,9.3,45,7.0,4.8,-1.3,NotYet
2.7,0.3,9.2,45,7.0,4.8,-1.3,NotYet
2.8,1.2,8.7,45,7.0,4.8,-1.3,NotYet
2.9,1.1,8.7,45,7.0,4.8,-1.3,NotYet
3.0,1.1,8.6,45,7.0,4.8,-1.3,NotYet
3.1,1.1,8.6,45,7.0,4.8,-1.3,NotYet
3.2,1.1,8.7,45,7.0,4.8,-1.3,NotYet
3.3,1.1,8.7,45,7.0,4.8,-1.3,NotYet
3.4,1.1,8.7,45,7.0,4.8,-1.3,NotYet
3.5,1.1,8.7,45,7.0,4.8,-1.3,NotYet
