b,a,theta,A2,z,status
7.6,6.3,66.0,0,0.0,NotYet
7.7,6.2,64.0,0,0.0,NotYet
7.8,6.1,62.0,0,0.0,NotYet
8.0,6.0,60.0,0,0.0,NotYet
8.1,5.9,58.0,0,0.0,NotYet
8.2,5.8,56.0,0,0.0,NotYet
8.3,5.7,54.0,0,0.0,NotYet
7.6,6.3,66.0,0,-0.2,NotYet
7.7,6.2,64.0,0,-0.2,NotYet
7.8,6.1,62.0,0,-0.2,NotYet
8.0,6.0,60.0,0,-0.2,NotYet
8.1,5.9,58.0,0,-0.2,NotYet
8.2,5.8,56.0,0,-0.2,NotYet
8.3,5.7,54.0,0,-0.2,NotYet
7.6,6.3,66.0,-5,0.0,NotYet
7.7,6.2,64.0,-5,0.0,NotYet
7.8,6.1,62.0,-5,0.0,NotYet
8.0,6.0,60.0,-5,0.0,NotYet
8.1,5.9,58.0,-5,0.0,NotYet
8.2,5.8,56.0,-5,0.0,NotYet
8.3,5.7,54.0,-5,0.0,NotYet
7.6,6.3,66.0,-5,-0.2,NotYet
7.7,6.2,64.0,-5,-0.2,NotYet
7.8,6.1,62.0,-5,-0.2,NotYet
8.0,6.0,60.0,-5,-0.2,NotYet
8.1,5.9,58.0,-5,-0.2,NotYet
8.2,5.8,56.0,-5,-0.2,NotYet
8.3,5.7,54.0,-5,-0.2,NotYet
