cx,cy,cz,a,b,theta,Rt,Rp,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.5,-0.7,10.7,7.4,5.8,25,1.7,1.5,-5.133356223,-0.793211546,-0.128571779,-0.2767545,-1.385888465,-0.065609936,-0.331908864,-0.100407875,-0.163052826,-1.963130522,-1.415792455,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.5_cy=-0.7_cz=10.7.log
1.7,-0.8,10.6,7.4,5.8,25,1.7,1.5,-5.132120655,-0.793600602,-0.14210968,-0.25005646,-1.67955436,-0.070621231,-0.312315492,-0.099664903,-0.152200041,-1.823530882,-1.432595917,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.7_cy=-0.8_cz=10.6.log
1.5,-0.8,10.8,7.4,5.8,25,1.7,1.5,-5.132082378,-1.023555406,-0.124738948,-0.23685867,-1.507267725,-0.062589103,-0.29930972,-0.096388046,-0.151815377,-1.891680978,-1.365038191,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.5_cy=-0.8_cz=10.8.log
1.5,-0.8,10.7,7.4,5.8,25,1.7,1.5,-5.120431399,-0.691084293,-0.133653355,-0.25317393,-1.466333992,-0.069039905,-0.312272821,-0.101714978,-0.158968991,-1.947955448,-1.449012834,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.5_cy=-0.8_cz=10.7.log
1.6,-0.7,10.9,7.4,5.8,25,1.7,1.5,-5.118905922,-1.342130938,-0.112196278,-0.232103399,-1.517063156,-0.052031874,-0.298568003,-0.087235185,-0.142406492,-1.843938762,-1.268278659,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.6_cy=-0.7_cz=10.9.log
1.7,-0.9,10.6,7.4,5.8,25,1.7,1.5,-5.115878814,-0.610036357,-0.147717109,-0.228734925,-1.727419568,-0.074450296,-0.294526839,-0.100859055,-0.148457571,-1.883818278,-1.441301364,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.7_cy=-0.9_cz=10.6.log
1.6,-0.8,10.6,7.4,5.8,25,1.7,1.5,-5.112615134,-0.496322759,-0.142750995,-0.260343859,-1.543388455,-0.073275598,-0.319073775,-0.103428708,-0.159152224,-1.93570959,-1.496746892,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.6_cy=-0.8_cz=10.6.log
1.7,-0.8,10.9,7.4,5.8,25,1.7,1.5,-5.109777534,-1.345286058,-0.116201047,-0.20458332,-1.54368715,-0.052590358,-0.276241197,-0.085379011,-0.133232296,-1.806017706,-1.315853957,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.7_cy=-0.8_cz=10.9.log
1.6,-0.8,10.9,7.4,5.8,25,1.7,1.5,-5.102795858,-1.284086263,-0.116390555,-0.213155107,-1.531592523,-0.054592115,-0.281611428,-0.088317012,-0.13895958,-1.832814893,-1.301990378,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.6_cy=-0.8_cz=10.9.log
1.7,-0.7,10.9,7.4,5.8,25,1.7,1.5,-5.090632204,-1.404630934,-0.112053206,-0.222797426,-1.541365363,-0.050106674,-0.292644309,-0.084353659,-0.136446402,-1.776005157,-1.28202803,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.7_cy=-0.7_cz=10.9.log
