a,b,theta,A1,A2,Rt,Rp,status
7.4,5.8,25,-0.1,-0.3,2,1.6,NotYet
7.4,5.8,25,-0.2,-0.6,2,1.6,NotYet
7.4,5.8,25,-0.3,-0.9,2,1.6,NotYet
7.4,5.8,25,-0.4,-1.2,2,1.6,NotYet
7.4,5.8,25,-0.5,-1.5,2,1.6,NotYet
