a,b,theta,A1,A2,Rt,Rp,E,E_t1,E_t2,E_p1,E_p2,machine_type,status,file_name
7.1,6.0,25,-1.5,0.0,2.1,1.9,-54.97543573845178,-9.827362573822027,-10.437948629201856,-7.212972680921665,-7.231840651482344,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-1.5_A2=0.0_a=7.1_b=6_cx=0_cy=0_cz=0.log
7.1,6.1,25,-1.5,0.0,2.1,1.9,-54.49481453455519,-9.878323916113004,-10.529778442520183,-6.818522404995747,-6.860087412293068,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-1.5_A2=0.0_a=7.1_b=6.1_cx=0_cy=0_cz=0.log
7.2,5.9,25,-1.5,0.0,2.1,1.9,-55.5526357521303,-9.813872364000416,-10.447412734967656,-7.525368494330905,-7.504697059863247,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-1.5_A2=0.0_a=7.2_b=5.9_cx=0_cy=0_cz=0.log
7.2,6.0,25,-1.5,0.0,2.1,1.9,-55.22359711804893,-9.85682730586268,-10.53256458695978,-7.212972680921665,-7.231840651482344,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-1.5_A2=0.0_a=7.2_b=6_cx=0_cy=0_cz=0.log
7.2,6.1,25,-1.5,0.0,2.1,1.9,-54.56203591590747,-9.867677581438327,-10.574035467871,-6.818522404995747,-6.860087412293068,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-1.5_A2=0.0_a=7.2_b=6.1_cx=0_cy=0_cz=0.log
7.3,5.9,25,-1.5,0.0,2.1,1.9,-55.61323815770447,-9.8011640314362,-10.49042227031896,-7.525368494330905,-7.504697059863247,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-1.5_A2=0.0_a=7.3_b=5.9_cx=0_cy=0_cz=0.log
7.3,6.0,25,-1.5,0.0,2.1,1.9,-55.11306876153685,-9.80644515552558,-10.527682559040839,-7.212972680921665,-7.231840651482344,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-1.5_A2=0.0_a=7.3_b=6_cx=0_cy=0_cz=0.log
7.3,6.1,25,-1.5,0.0,2.1,1.9,-54.30330350215081,-9.784518701082561,-10.527828141348436,-6.818522404995747,-6.860087412293068,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-1.5_A2=0.0_a=7.3_b=6.1_cx=0_cy=0_cz=0.log
7.1,5.9,25,-2.0,0.0,2.1,1.9,-54.82516842894257,-9.709396968886722,-10.187116566929038,-7.527444297447801,-7.504697059863247,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-2.0_A2=0.0_a=7.1_b=5.9_cx=0_cy=0_cz=0.log
7.1,6.0,25,-2.0,0.0,2.1,1.9,-54.69772742304485,-9.793184614216443,-10.338089197874071,-7.2033391473814845,-7.231840651482344,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-2.0_A2=0.0_a=7.1_b=6_cx=0_cy=0_cz=0.log
7.1,6.1,25,-2.0,0.0,2.1,1.9,-54.219246027525514,-9.840559736592695,-10.437858267629052,-6.802322606788947,-6.860087412293068,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-2.0_A2=0.0_a=7.1_b=6.1_cx=0_cy=0_cz=0.log
7.2,5.9,25,-2.0,0.0,2.1,1.9,-55.30277256551199,-9.777403365296776,-10.357912238803694,-7.527444297447801,-7.504697059863247,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-2.0_A2=0.0_a=7.2_b=5.9_cx=0_cy=0_cz=0.log
7.2,6.0,25,-2.0,0.0,2.1,1.9,-54.97077961452305,-9.81696473318152,-10.450835174648091,-7.2033391473814845,-7.231840651482344,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-2.0_A2=0.0_a=7.2_b=6_cx=0_cy=0_cz=0.log
