a,b,theta,E,E_p1,E_p2,E_t1,machine_type,status,file_name
3.9,16.1,15,-19.83997112000361,-0.0033885538578033,-8.430979631375521,-0.7428086873842403,3,Done,DBTP_theta=15_a=3.9_b=16.1.log
7.5,7.8,20,-23.303763568867,-0.3298631818033755,-0.2617783469613641,-5.53012012783438,3,Done,DBTP_theta=20_a=7.5_b=7.8.log
7.5,8.0,20,-23.93625599890948,-0.7732680230401456,-0.2617783469613641,-5.4665408147266135,3,Done,DBTP_theta=20_a=7.5_b=8.0.log
7.5,8.2,20,-23.88971985736862,-0.9492092768196017,-0.2617783469613641,-5.366936152451672,3,Done,DBTP_theta=20_a=7.5_b=8.2.log
7.7,7.8,20,-23.1559849632904,-0.3298631818033755,-0.2126129381358623,-5.517758180852979,3,Done,DBTP_theta=20_a=7.7_b=7.8.log
7.7,8.2,20,-23.46904970239848,-0.9492092768196017,-0.2126129381358623,-5.286351318121888,3,Done,DBTP_theta=20_a=7.7_b=8.2.log
7.9,7.8,20,-22.52380629070103,-0.3298631818033755,-0.1724773987662047,-5.379781282390468,3,Done,DBTP_theta=20_a=7.9_b=7.8.log
7.9,8.0,20,-22.902031667064875,-0.7732680230401456,-0.1724773987662047,-5.252635205863044,3,Done,DBTP_theta=20_a=7.9_b=8.0.log
7.9,8.2,20,-22.672764613758773,-0.9492092768196017,-0.1724773987662047,-5.10734781564679,3,Done,DBTP_theta=20_a=7.9_b=8.2.log
3.4,15.4,20,-6.506362535990775,-0.0056601404212415,-3.4648152904119343,0.1086470814188942,3,Done,DBTP_theta=20_a=3.4_b=15.4.log
3.4,15.6,20,-7.917921180371195,-0.0050891062710434,-3.4648152904119343,-0.2445280967513099,3,Done,DBTP_theta=20_a=3.4_b=15.6.log
3.4,15.8,20,-8.914720815606415,-0.0045933732762932,-3.4648152904119343,-0.49397587205749,3,Done,DBTP_theta=20_a=3.4_b=15.8.log
3.6,15.4,20,-16.545405568554997,-0.0056601404212415,-8.006676194490865,-0.1301832246826961,3,Done,DBTP_theta=20_a=3.6_b=15.4.log
3.6,15.8,20,-18.47484821639955,-0.0045933732762932,-8.006676194490865,-0.6130772702163085,3,Done,DBTP_theta=20_a=3.6_b=15.8.log
