cx,cy,cz,a,b,theta,A1,A2,status
0,6.6,8.9,5.9,8.5,69,-7,32,NotYet
0,6.5,8.9,6,8.4,71,-9,32,NotYet
0,6.4,8.9,6,8.3,73,-11,31,NotYet
