a,b,theta,status
4.0,9.0,45,NotYet
4.0,9.5,45,NotYet
4.0,10.0,45,NotYet
4.0,10.5,45,NotYet
4.0,11.0,45,NotYet
4.0,11.5,45,NotYet
4.0,12.0,45,NotYet
4.5,8.5,45,NotYet
4.5,9.0,45,NotYet
4.5,9.5,45,NotYet
4.5,10.0,45,NotYet
4.5,10.5,45,NotYet
4.5,11.0,45,NotYet
4.5,11.5,45,NotYet
5.0,8.0,45,NotYet
5.0,8.5,45,NotYet
5.0,9.0,45,NotYet
5.0,9.5,45,NotYet
5.0,10.0,45,NotYet
5.0,10.5,45,NotYet
5.0,11.0,45,NotYet
5.5,7.5,45,NotYet
5.5,8.0,45,NotYet
5.5,8.5,45,NotYet
5.5,9.0,45,NotYet
5.5,9.5,45,NotYet
5.5,10.0,45,NotYet
5.5,10.5,45,NotYet
6.0,7.0,45,NotYet
6.0,7.5,45,NotYet
6.0,8.0,45,NotYet
6.0,8.5,45,NotYet
6.0,9.0,45,NotYet
6.0,9.5,45,NotYet
6.0,10.0,45,NotYet
6.5,6.5,45,NotYet
6.5,7.0,45,NotYet
6.5,7.5,45,NotYet
6.5,8.0,45,NotYet
6.5,8.5,45,NotYet
6.5,9.0,45,NotYet
6.5,9.5,45,NotYet
7.0,6.0,45,NotYet
7.0,6.5,45,NotYet
7.0,7.0,45,NotYet
7.0,7.5,45,NotYet
7.0,8.0,45,NotYet
7.0,8.5,45,NotYet
7.0,9.0,45,NotYet
7.5,5.5,45,NotYet
7.5,6.0,45,NotYet
7.5,6.5,45,NotYet
7.5,7.0,45,NotYet
7.5,7.5,45,NotYet
7.5,8.0,45,NotYet
7.5,8.5,45,NotYet
8.0,5.0,45,NotYet
8.0,5.5,45,NotYet
8.0,6.0,45,NotYet
8.0,6.5,45,NotYet
8.0,7.0,45,NotYet
8.0,7.5,45,NotYet
8.0,8.0,45,NotYet
8.5,4.5,45,NotYet
8.5,5.0,45,NotYet
8.5,5.5,45,NotYet
8.5,6.0,45,NotYet
8.5,6.5,45,NotYet
8.5,7.0,45,NotYet
8.5,7.5,45,NotYet
9.0,4.0,45,NotYet
9.0,4.5,45,NotYet
9.0,5.0,45,NotYet
9.0,5.5,45,NotYet
9.0,6.0,45,NotYet
9.0,6.5,45,NotYet
9.0,7.0,45,NotYet
9.5,4.0,45,NotYet
9.5,4.5,45,NotYet
9.5,5.0,45,NotYet
9.5,5.5,45,NotYet
9.5,6.0,45,NotYet
9.5,6.5,45,NotYet
10.0,4.0,45,NotYet
10.0,4.5,45,NotYet
10.0,5.0,45,NotYet
10.0,5.5,45,NotYet
10.0,6.0,45,NotYet
10.5,4.0,45,NotYet
10.5,4.5,45,NotYet
10.5,5.0,45,NotYet
10.5,5.5,45,NotYet
11.0,4.0,45,NotYet
11.0,4.5,45,NotYet
11.0,5.0,45,NotYet
11.5,4.0,45,NotYet
11.5,4.5,45,NotYet
12.0,4.0,45,NotYet
