a,b,theta,A1,A2,phi_r,status
5.9,8.3,61.5,5,-7,80,InProgress
5.9,8.3,61.5,5,-9,80,InProgress
5.9,8.3,61.5,5,-11,80,InProgress
5.9,8.3,61.5,5,-13,80,NotYet
