a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,machine_type,status,file_name
6.0,8.2,61.5,5,-7,80.1,-52.22649013134651,-0.4833521278342232,-6.848650415078737,-9.462060137302617,-9.31918238545768,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=6.0_b=8.2_phi_r=80.1_cx=0_cy=0_cz=0.log
6.0,8.3,61.5,5,-7,79.0,-51.80272007849999,-0.4440449011744931,-6.841157945920713,-9.313622646965086,-9.3025345451897,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=6.0_b=8.3_phi_r=79_cx=0_cy=0_cz=0.log
6.0,8.3,61.5,5,-7,80.0,-51.985049384180456,-0.4432040380779654,-6.847941328771412,-9.396315914695151,-9.3050634105457,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=6.0_b=8.3_phi_r=80_cx=0_cy=0_cz=0.log
6.0,8.3,61.5,5,-7,80.1,-52.00017237570137,-0.4431099115172401,-6.848650415078737,-9.403231075033544,-9.30509478622116,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=6.0_b=8.3_phi_r=80.1_cx=0_cy=0_cz=0.log
6.0,8.4,61.5,5,-7,79.0,-51.43714530370198,-0.407580295111984,-6.841157945920713,-9.232698957668616,-9.237135453149676,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=6.0_b=8.4_phi_r=79_cx=0_cy=0_cz=0.log
6.0,8.4,61.5,5,-7,80.0,-51.5903957944829,-0.4068084578029811,-6.847941328771412,-9.295895489514804,-9.244552621152252,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=6.0_b=8.4_phi_r=80_cx=0_cy=0_cz=0.log
6.0,8.4,61.5,5,-7,80.1,-51.60304639604874,-0.4067206064937636,-6.848650415078737,-9.301053621456958,-9.245098554994913,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=6.0_b=8.4_phi_r=80.1_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-9,79.0,-52.41429132502526,-0.4712913855910301,-7.265323330298997,-9.160008198930882,-9.31052274769172,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.8_b=8.2_phi_r=79_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-9,80.0,-52.66050114808604,-0.4704442470101639,-7.273248781450093,-9.292494385386815,-9.294063160195948,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.8_b=8.2_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-9,80.1,-52.68125917809084,-0.4703501206822693,-7.274083369644359,-9.304009193438104,-9.292186905280689,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.8_b=8.2_phi_r=80.1_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-9,79.0,-52.52701722132042,-0.4325802936218679,-7.265323330298997,-9.214614119264295,-9.350990867475048,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.8_b=8.3_phi_r=79_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-9,80.0,-52.73455987754278,-0.4318084561964497,-7.273248781450093,-9.319791070069186,-9.34243163105566,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.8_b=8.3_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-9,80.1,-52.75201720604673,-0.4317206050036475,-7.274083369644359,-9.328833489329554,-9.341371139045805,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.8_b=8.3_phi_r=80.1_cx=0_cy=0_cz=0.log
