cx,cy,cz,theta1,theta2,a,b,z,status
0.0,-2.5,8.0,45,135,4.8,7.0,0.0,NotYet
-0.3,-2.4,8.1,45,135,4.8,7.0,0.0,NotYet
-0.2,-2.4,8.1,45,135,4.8,7.0,0.0,NotYet
-0.1,-2.4,8.0,45,135,4.8,7.0,0.0,NotYet
0.1,-2.4,8.0,45,135,4.8,7.0,0.0,NotYet
0.2,-2.4,8.1,45,135,4.8,7.0,0.0,NotYet
0.3,-2.4,8.1,45,135,4.8,7.0,0.0,NotYet
-0.5,-2.3,8.2,45,135,4.8,7.0,0.0,NotYet
-0.4,-2.3,8.2,45,135,4.8,7.0,0.0,NotYet
0.4,-2.3,8.2,45,135,4.8,7.0,0.0,NotYet
0.5,-2.3,8.2,45,135,4.8,7.0,0.0,NotYet
-0.7,-2.2,8.3,45,135,4.8,7.0,0.0,NotYet
-0.6,-2.2,8.2,45,135,4.8,7.0,0.0,NotYet
0.6,-2.2,8.2,45,135,4.8,7.0,0.0,NotYet
0.7,-2.2,8.3,45,135,4.8,7.0,0.0,NotYet
-0.9,-2.1,8.3,45,135,4.8,7.0,0.0,NotYet
-0.8,-2.1,8.3,45,135,4.8,7.0,0.0,NotYet
0.8,-2.1,8.3,45,135,4.8,7.0,0.0,NotYet
0.9,-2.1,8.3,45,135,4.8,7.0,0.0,NotYet
-1.0,-2.0,8.3,45,135,4.8,7.0,0.0,NotYet
1.0,-2.0,8.3,45,135,4.8,7.0,0.0,NotYet
-1.2,-1.9,8.3,45,135,4.8,7.0,0.0,NotYet
-1.1,-1.9,8.3,45,135,4.8,7.0,0.0,NotYet
1.1,-1.9,8.3,45,135,4.8,7.0,0.0,NotYet
1.2,-1.9,8.3,45,135,4.8,7.0,0.0,NotYet
-1.3,-1.8,8.3,45,135,4.8,7.0,0.0,NotYet
1.3,-1.8,8.3,45,135,4.8,7.0,0.0,NotYet
-1.4,-1.7,8.3,45,135,4.8,7.0,0.0,NotYet
1.4,-1.7,8.3,45,135,4.8,7.0,0.0,NotYet
-1.5,-1.6,8.2,45,135,4.8,7.0,0.0,NotYet
