theta,A2,phi,a,b,z,status
60.0,10.0,20.0,6.0,8.0,-3.6,NotYet
60.0,10.0,20.0,6.0,8.0,-3.6,NotYet
60.0,10.0,30.0,6.0,8.0,-3.6,NotYet
60.0,10.0,30.0,6.0,8.0,-3.6,NotYet
60.0,10.0,40.0,6.0,8.0,-3.6,NotYet
60.0,10.0,40.0,6.0,8.0,-3.6,NotYet
60.0,10.0,50.0,6.0,8.0,-3.6,NotYet
60.0,10.0,50.0,6.0,8.0,-3.6,NotYet
60.0,10.0,60.0,6.0,8.0,-3.6,NotYet
60.0,10.0,60.0,6.0,8.0,-3.6,NotYet
60.0,-10.0,0.0,6.0,8.0,-3.4,NotYet
60.0,-10.0,10.0,6.0,8.0,-3.4,NotYet
60.0,-10.0,20.0,6.0,8.0,-3.4,NotYet
60.0,-10.0,30.0,6.0,8.0,-3.4,NotYet
60.0,-10.0,40.0,6.0,8.0,-3.4,NotYet
60.0,-10.0,0.0,6.0,8.0,-3.4,NotYet
60.0,-10.0,10.0,6.0,8.0,-3.4,NotYet
60.0,-10.0,20.0,6.0,8.0,-3.4,NotYet
60.0,-10.0,30.0,6.0,8.0,-3.4,NotYet
60.0,-10.0,40.0,6.0,8.0,-3.4,NotYet
60.0,-10.0,50.0,6.0,8.0,-3.4,NotYet
60.0,-10.0,50.0,6.0,8.0,-3.4,NotYet
60.0,-10.0,60.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,0.0,6.0,8.0,-3.4,NotYet
60.0,-10.0,60.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,0.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,10.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,20.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,10.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,20.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,30.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,30.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,40.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,50.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,40.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,50.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,60.0,6.0,8.0,-3.4,NotYet
60.0,-8.0,60.0,6.0,8.0,-3.4,NotYet
60.0,-6.0,0.0,6.0,8.0,-3.4,NotYet
60.0,-6.0,0.0,6.0,8.0,-3.4,NotYet
60.0,-6.0,10.0,6.0,8.0,-3.4,NotYet
