a,b,theta,A1,A2,phi_r,phi_b,status
7.8,6.2,28.5,2,-8,39,0,NotYet
7.8,6.2,28.5,2,-10,39,0,NotYet
7.8,6.2,28.5,2,-12,39,0,NotYet
8,5.7,28.5,2,-8,196,0,NotYet
8,5.7,28.5,2,-10,196,0,NotYet
8,5.7,28.5,2,-12,196,0,NotYet
5.9,8.3,61.5,5,-7,79,0,NotYet
5.9,8.3,61.5,5,-9,79,0,NotYet
5.9,8.3,61.5,5,-11,79,0,NotYet
