a,b,theta,A2,z,status
8.2,6.0,30.0,-10,1.2,NotYet
8.2,6.0,30.0,-10,1.4,NotYet
8.2,6.0,30.0,-10,1.6,NotYet
8.2,6.0,30.0,-10,1.8,NotYet
8.2,6.0,30.0,-10,2.0,NotYet
8.2,6.0,30.0,-8,1.2,NotYet
8.2,6.0,30.0,-8,1.4,NotYet
8.2,6.0,30.0,-8,1.6,NotYet
8.2,6.0,30.0,-8,1.8,NotYet
8.2,6.0,30.0,-8,2.0,NotYet
8.2,6.0,30.0,-6,1.2,NotYet
8.2,6.0,30.0,-6,1.4,NotYet
8.2,6.0,30.0,-6,1.6,NotYet
8.2,6.0,30.0,-6,1.8,NotYet
8.2,6.0,30.0,-6,2.0,NotYet
8.2,6.0,30.0,-4,1.2,NotYet
8.2,6.0,30.0,-4,1.4,NotYet
8.2,6.0,30.0,-4,1.6,NotYet
8.2,6.0,30.0,-4,1.8,NotYet
8.2,6.0,30.0,-4,2.0,NotYet
8.2,6.0,30.0,-2,1.2,NotYet
8.2,6.0,30.0,-2,1.4,NotYet
8.2,6.0,30.0,-2,1.6,NotYet
8.2,6.0,30.0,-2,1.8,NotYet
8.2,6.0,30.0,-2,2.0,NotYet
8.2,6.0,30.0,0,1.2,NotYet
8.2,6.0,30.0,0,1.4,NotYet
8.2,6.0,30.0,0,1.6,NotYet
8.2,6.0,30.0,0,1.8,NotYet
8.2,6.0,30.0,0,2.0,NotYet
8.2,6.0,30.0,2,1.2,NotYet
8.2,6.0,30.0,2,1.4,NotYet
8.2,6.0,30.0,2,1.6,NotYet
8.2,6.0,30.0,2,1.8,NotYet
8.2,6.0,30.0,2,2.0,NotYet
8.2,6.0,30.0,4,1.2,NotYet
8.2,6.0,30.0,4,1.4,NotYet
8.2,6.0,30.0,4,1.6,NotYet
8.2,6.0,30.0,4,1.8,NotYet
8.2,6.0,30.0,4,2.0,NotYet
8.2,6.0,30.0,6,1.2,NotYet
8.2,6.0,30.0,6,1.4,NotYet
8.2,6.0,30.0,6,1.6,NotYet
8.2,6.0,30.0,6,1.8,NotYet
8.2,6.0,30.0,6,2.0,NotYet
8.2,6.0,30.0,8,1.2,NotYet
8.2,6.0,30.0,8,1.4,NotYet
8.2,6.0,30.0,8,1.6,NotYet
8.2,6.0,30.0,8,1.8,NotYet
8.2,6.0,30.0,8,2.0,NotYet
8.2,6.0,30.0,10,1.2,NotYet
8.2,6.0,30.0,10,1.4,NotYet
8.2,6.0,30.0,10,1.6,NotYet
8.2,6.0,30.0,10,1.8,NotYet
8.2,6.0,30.0,10,2.0,NotYet
5.9,8.3,60.0,-10,1.2,NotYet
5.9,8.3,60.0,-10,1.4,NotYet
5.9,8.3,60.0,-10,1.6,NotYet
5.9,8.3,60.0,-10,1.8,NotYet
5.9,8.3,60.0,-10,2.0,NotYet
5.9,8.3,60.0,-8,1.2,NotYet
5.9,8.3,60.0,-8,1.4,NotYet
5.9,8.3,60.0,-8,1.6,NotYet
5.9,8.3,60.0,-8,1.8,NotYet
5.9,8.3,60.0,-8,2.0,NotYet
5.9,8.3,60.0,-6,1.2,NotYet
5.9,8.3,60.0,-6,1.4,NotYet
5.9,8.3,60.0,-6,1.6,NotYet
5.9,8.3,60.0,-6,1.8,NotYet
5.9,8.3,60.0,-6,2.0,NotYet
5.9,8.3,60.0,-4,1.2,NotYet
5.9,8.3,60.0,-4,1.4,NotYet
5.9,8.3,60.0,-4,1.6,NotYet
5.9,8.3,60.0,-4,1.8,NotYet
5.9,8.3,60.0,-4,2.0,NotYet
5.9,8.3,60.0,-2,1.2,NotYet
5.9,8.3,60.0,-2,1.4,NotYet
5.9,8.3,60.0,-2,1.6,NotYet
5.9,8.3,60.0,-2,1.8,NotYet
5.9,8.3,60.0,-2,2.0,NotYet
5.9,8.3,60.0,0,1.2,NotYet
5.9,8.3,60.0,0,1.4,NotYet
5.9,8.3,60.0,0,1.6,NotYet
5.9,8.3,60.0,0,1.8,NotYet
5.9,8.3,60.0,0,2.0,NotYet
5.9,8.3,60.0,2,1.2,NotYet
5.9,8.3,60.0,2,1.4,NotYet
5.9,8.3,60.0,2,1.6,NotYet
5.9,8.3,60.0,2,1.8,NotYet
5.9,8.3,60.0,2,2.0,NotYet
5.9,8.3,60.0,4,1.2,NotYet
5.9,8.3,60.0,4,1.4,NotYet
5.9,8.3,60.0,4,1.6,NotYet
5.9,8.3,60.0,4,1.8,NotYet
5.9,8.3,60.0,4,2.0,NotYet
5.9,8.3,60.0,6,1.2,NotYet
5.9,8.3,60.0,6,1.4,NotYet
5.9,8.3,60.0,6,1.6,NotYet
5.9,8.3,60.0,6,1.8,NotYet
5.9,8.3,60.0,6,2.0,NotYet
5.9,8.3,60.0,8,1.2,NotYet
5.9,8.3,60.0,8,1.4,NotYet
5.9,8.3,60.0,8,1.6,NotYet
5.9,8.3,60.0,8,1.8,NotYet
5.9,8.3,60.0,8,2.0,NotYet
5.9,8.3,60.0,10,1.2,NotYet
5.9,8.3,60.0,10,1.4,NotYet
5.9,8.3,60.0,10,1.6,NotYet
5.9,8.3,60.0,10,1.8,NotYet
5.9,8.3,60.0,10,2.0,NotYet
