theta,a,b,z,A2,phi,status
50,6.1,8.4,-3.8,-16,30,NotYet
50,6.1,8.4,-3.8,-14,30,NotYet
50,6.1,8.4,-3.8,-12,30,NotYet
50,6.1,8.4,-3.8,-10,30,NotYet
50,6.1,8.4,-3.8,-8,30,NotYet
50,6.1,8.4,-3.8,-6,30,NotYet
50,6.1,8.4,-3.8,-4,30,NotYet
50,6.1,8.4,-3.6,-16,30,NotYet
50,6.1,8.4,-3.6,-14,30,NotYet
50,6.1,8.4,-3.6,-12,30,NotYet
50,6.1,8.4,-3.6,-10,30,NotYet
50,6.1,8.4,-3.6,-8,30,NotYet
50,6.1,8.4,-3.6,-6,30,NotYet
50,6.1,8.4,-3.6,-4,30,NotYet
50,6.1,8.4,-3.4,-16,30,NotYet
50,6.1,8.4,-3.4,-14,30,NotYet
50,6.1,8.4,-3.4,-12,30,NotYet
50,6.1,8.4,-3.4,-10,30,NotYet
50,6.1,8.4,-3.4,-8,30,NotYet
50,6.1,8.4,-3.4,-6,30,NotYet
50,6.1,8.4,-3.4,-4,30,NotYet
50,6.1,8.4,-3.2,-16,30,NotYet
50,6.1,8.4,-3.2,-14,30,NotYet
50,6.1,8.4,-3.2,-12,30,NotYet
50,6.1,8.4,-3.2,-10,30,NotYet
50,6.1,8.4,-3.2,-8,30,NotYet
50,6.1,8.4,-3.2,-6,30,NotYet
50,6.1,8.4,-3.2,-4,30,NotYet
50,6.1,8.4,-3.0,-16,30,NotYet
50,6.1,8.4,-3.0,-14,30,NotYet
50,6.1,8.4,-3.0,-12,30,NotYet
50,6.1,8.4,-3.0,-10,30,NotYet
50,6.1,8.4,-3.0,-8,30,NotYet
50,6.1,8.4,-3.0,-6,30,NotYet
50,6.1,8.4,-3.0,-4,30,NotYet
50,6.1,8.4,-2.8,-16,30,NotYet
50,6.1,8.4,-2.8,-14,30,NotYet
50,6.1,8.4,-2.8,-12,30,NotYet
50,6.1,8.4,-2.8,-10,30,NotYet
50,6.1,8.4,-2.8,-8,30,NotYet
50,6.1,8.4,-2.8,-6,30,NotYet
50,6.1,8.4,-2.8,-4,30,NotYet
50,6.1,8.4,-2.6,-16,30,NotYet
50,6.1,8.4,-2.6,-14,30,NotYet
50,6.1,8.4,-2.6,-12,30,NotYet
50,6.1,8.4,-2.6,-10,30,NotYet
50,6.1,8.4,-2.6,-8,30,NotYet
50,6.1,8.4,-2.6,-6,30,NotYet
50,6.1,8.4,-2.6,-4,30,NotYet
52,6.1,8.4,-3.8,-16,30,NotYet
52,6.1,8.4,-3.8,-14,30,NotYet
52,6.1,8.4,-3.8,-12,30,NotYet
52,6.1,8.4,-3.8,-10,30,NotYet
52,6.1,8.4,-3.8,-8,30,NotYet
52,6.1,8.4,-3.8,-6,30,NotYet
52,6.1,8.4,-3.8,-4,30,NotYet
52,6.1,8.4,-3.6,-16,30,NotYet
52,6.1,8.4,-3.6,-14,30,NotYet
52,6.1,8.4,-3.6,-12,30,NotYet
52,6.1,8.4,-3.6,-10,30,NotYet
52,6.1,8.4,-3.6,-8,30,NotYet
52,6.1,8.4,-3.6,-6,30,NotYet
52,6.1,8.4,-3.6,-4,30,NotYet
52,6.1,8.4,-3.4,-16,30,NotYet
52,6.1,8.4,-3.4,-14,30,NotYet
52,6.1,8.4,-3.4,-12,30,NotYet
52,6.1,8.4,-3.4,-10,30,NotYet
52,6.1,8.4,-3.4,-8,30,NotYet
52,6.1,8.4,-3.4,-6,30,NotYet
52,6.1,8.4,-3.4,-4,30,NotYet
52,6.1,8.4,-3.2,-16,30,NotYet
52,6.1,8.4,-3.2,-14,30,NotYet
52,6.1,8.4,-3.2,-12,30,NotYet
52,6.1,8.4,-3.2,-10,30,NotYet
52,6.1,8.4,-3.2,-8,30,NotYet
52,6.1,8.4,-3.2,-6,30,NotYet
52,6.1,8.4,-3.2,-4,30,NotYet
52,6.1,8.4,-3.0,-16,30,NotYet
52,6.1,8.4,-3.0,-14,30,NotYet
52,6.1,8.4,-3.0,-12,30,NotYet
52,6.1,8.4,-3.0,-10,30,NotYet
52,6.1,8.4,-3.0,-8,30,NotYet
52,6.1,8.4,-3.0,-6,30,NotYet
52,6.1,8.4,-3.0,-4,30,NotYet
52,6.1,8.4,-2.8,-16,30,NotYet
52,6.1,8.4,-2.8,-14,30,NotYet
52,6.1,8.4,-2.8,-12,30,NotYet
52,6.1,8.4,-2.8,-10,30,NotYet
52,6.1,8.4,-2.8,-8,30,NotYet
52,6.1,8.4,-2.8,-6,30,NotYet
52,6.1,8.4,-2.8,-4,30,NotYet
52,6.1,8.4,-2.6,-16,30,NotYet
52,6.1,8.4,-2.6,-14,30,NotYet
52,6.1,8.4,-2.6,-12,30,NotYet
52,6.1,8.4,-2.6,-10,30,NotYet
52,6.1,8.4,-2.6,-8,30,NotYet
52,6.1,8.4,-2.6,-6,30,NotYet
52,6.1,8.4,-2.6,-4,30,NotYet
54,6.1,8.4,-3.8,-16,30,NotYet
54,6.1,8.4,-3.8,-14,30,NotYet
54,6.1,8.4,-3.8,-12,30,NotYet
54,6.1,8.4,-3.8,-10,30,NotYet
54,6.1,8.4,-3.8,-8,30,NotYet
54,6.1,8.4,-3.8,-6,30,NotYet
54,6.1,8.4,-3.8,-4,30,NotYet
54,6.1,8.4,-3.6,-16,30,NotYet
54,6.1,8.4,-3.6,-14,30,NotYet
54,6.1,8.4,-3.6,-12,30,NotYet
54,6.1,8.4,-3.6,-10,30,NotYet
54,6.1,8.4,-3.6,-8,30,NotYet
54,6.1,8.4,-3.6,-6,30,NotYet
54,6.1,8.4,-3.6,-4,30,NotYet
54,6.1,8.4,-3.4,-16,30,NotYet
54,6.1,8.4,-3.4,-14,30,NotYet
54,6.1,8.4,-3.4,-12,30,NotYet
54,6.1,8.4,-3.4,-10,30,NotYet
54,6.1,8.4,-3.4,-8,30,NotYet
54,6.1,8.4,-3.4,-6,30,NotYet
