cx,cy,cz,a,b,theta,A1,A2,status
0,1.9,8,6,7.3,65,0,0,NotYet
0,1.9,8,6,7.4,65,0,0,NotYet
0,1.9,8,6,7.5,65,0,0,NotYet
0,1.9,8,6,7.6,65,0,0,NotYet
0,1.9,8,6,7.7,65,0,0,NotYet
0,1.9,8,6,7.8,65,0,0,NotYet
