a,b,theta,A2,z,status
5.9,8.3,60.0,-9,-0.9,NotYet
5.9,8.3,60.0,-9,-0.7,NotYet
5.9,8.3,60.0,-9,-0.5,NotYet
5.9,8.3,60.0,-9,-0.3,NotYet
5.9,8.3,60.0,-9,-0.1,NotYet
5.9,8.3,60.0,-9,0.1,NotYet
5.9,8.3,60.0,-9,0.3,NotYet
5.9,8.3,60.0,-9,0.5,NotYet
5.9,8.3,60.0,-9,0.7,NotYet
5.9,8.3,60.0,-9,0.9,NotYet
5.9,8.3,60.0,-7,-0.9,NotYet
5.9,8.3,60.0,-7,-0.7,NotYet
5.9,8.3,60.0,-7,-0.5,NotYet
5.9,8.3,60.0,-7,-0.3,NotYet
5.9,8.3,60.0,-7,-0.1,NotYet
5.9,8.3,60.0,-7,0.1,NotYet
5.9,8.3,60.0,-7,0.3,NotYet
5.9,8.3,60.0,-7,0.5,NotYet
5.9,8.3,60.0,-7,0.7,NotYet
5.9,8.3,60.0,-7,0.9,NotYet
5.9,8.3,60.0,-5,-0.9,NotYet
5.9,8.3,60.0,-5,-0.7,NotYet
5.9,8.3,60.0,-5,-0.5,NotYet
5.9,8.3,60.0,-5,-0.3,NotYet
5.9,8.3,60.0,-5,-0.1,NotYet
5.9,8.3,60.0,-5,0.1,NotYet
5.9,8.3,60.0,-5,0.3,NotYet
5.9,8.3,60.0,-5,0.5,NotYet
5.9,8.3,60.0,-5,0.7,NotYet
5.9,8.3,60.0,-5,0.9,NotYet
5.9,8.3,60.0,-3,-0.9,NotYet
5.9,8.3,60.0,-3,-0.7,NotYet
5.9,8.3,60.0,-3,-0.5,NotYet
5.9,8.3,60.0,-3,-0.3,NotYet
5.9,8.3,60.0,-3,-0.1,NotYet
5.9,8.3,60.0,-3,0.1,NotYet
5.9,8.3,60.0,-3,0.3,NotYet
5.9,8.3,60.0,-3,0.5,NotYet
5.9,8.3,60.0,-3,0.7,NotYet
5.9,8.3,60.0,-3,0.9,NotYet
5.9,8.3,60.0,-1,-0.9,NotYet
5.9,8.3,60.0,-1,-0.7,NotYet
5.9,8.3,60.0,-1,-0.5,NotYet
5.9,8.3,60.0,-1,-0.3,NotYet
5.9,8.3,60.0,-1,-0.1,NotYet
5.9,8.3,60.0,-1,0.1,NotYet
5.9,8.3,60.0,-1,0.3,NotYet
5.9,8.3,60.0,-1,0.5,NotYet
5.9,8.3,60.0,-1,0.7,NotYet
5.9,8.3,60.0,-1,0.9,NotYet
