a,b,theta,status
7,7.2,10,NotYet
7.3,7.5,15,NotYet
7.6,7.8,20,NotYet
8,7.9,25,NotYet
8.2,8.2,30,NotYet
8.4,8.4,35,NotYet
8.5,8.5,40,NotYet
8.5,8.5,45,NotYet
