theta,a1,z1,a2,b2,z2,status
0,3.8,1.3,1.6,4.3,0.0,NotYet
0,3.8,1.3,-1.6,4.3,0.0,NotYet
0,3.8,-1.3,1.6,4.3,0.0,NotYet
0,3.8,-1.3,-1.6,4.3,0.0,NotYet
