a,b,theta,R3,R4,status
7.1,6.0,25.0,-2.4,0.0,NotYet
7.1,6.0,25.0,-2.3,-2.2,NotYet
7.1,6.0,25.0,-2.0,-4.0,NotYet
7.1,6.0,25.0,-0.1,2.2,NotYet
7.1,6.0,25.0,0.0,0.0,NotYet
7.1,6.0,25.0,0.1,-2.2,NotYet
7.1,6.0,25.0,2.0,4.0,NotYet
7.1,6.0,25.0,2.3,2.2,NotYet
7.1,6.0,25.0,2.4,0.0,NotYet
