a,b,theta,Ga,Gb,Gc,status
8.1,15.2,30,3.5,1.4,1.2,NotYet
11.6,10.5,35,3.5,1.4,1.2,NotYet
7.8,15.3,70,3.5,1.4,1.2,NotYet
15.3,7.8,20,3.5,-1.4,1.2,NotYet
10.5,11.7,55,3.5,-1.4,1.2,NotYet
15.1,8,60,3.5,-1.4,1.2,NotYet
