,theta,A2,a,b,z,status
101,30.0,-8.0,8.3,5.7,0.0,NotYet
102,30.0,-6.0,8.3,5.7,0.0,NotYet
103,30.0,-4.0,8.2,5.8,0.0,NotYet
104,30.0,-2.0,8.2,5.8,0.0,NotYet
105,30.0,2.0,8.1,6.0,0.0,NotYet
106,30.0,4.0,8.2,6.0,0.0,NotYet
107,30.0,6.0,8.2,6.2,0.0,NotYet
108,30.0,8.0,8.3,6.2,0.0,NotYet
109,30.0,10.0,8.4,6.3,0.0,NotYet
110,31.0,-10.0,8.6,5.7,0.0,NotYet
111,31.0,-8.0,8.4,5.7,0.0,NotYet
112,31.0,-6.0,8.3,5.7,0.0,NotYet
113,31.0,-4.0,8.3,5.7,0.0,NotYet
114,31.0,-2.0,8.2,5.8,0.0,NotYet
115,31.0,2.0,8.3,5.9,0.0,NotYet
116,31.0,4.0,8.3,6.0,0.0,NotYet
117,31.0,6.0,8.3,6.1,0.0,NotYet
118,31.0,8.0,8.4,6.2,0.0,NotYet
119,31.0,10.0,8.5,6.2,0.0,NotYet
120,32.0,-10.0,8.7,5.6,0.0,NotYet
121,32.0,-8.0,8.6,5.6,0.0,NotYet
122,32.0,-6.0,8.5,5.6,0.0,NotYet
123,32.0,-4.0,8.4,5.6,0.0,NotYet
124,32.0,-2.0,8.4,5.7,0.0,NotYet
125,32.0,2.0,8.4,5.8,0.0,NotYet
126,32.0,4.0,8.4,5.9,0.0,NotYet
127,32.0,6.0,8.5,6.0,0.0,NotYet
128,32.0,8.0,8.5,6.1,0.0,NotYet
129,32.0,10.0,8.7,6.1,0.0,NotYet
130,33.0,-10.0,8.9,5.5,0.0,NotYet
131,33.0,-8.0,8.7,5.5,0.0,NotYet
132,33.0,-6.0,8.6,5.6,0.0,NotYet
133,33.0,-4.0,8.5,5.6,0.0,NotYet
134,33.0,-2.0,8.5,5.6,0.0,NotYet
135,33.0,2.0,8.5,5.7,0.0,NotYet
136,33.0,4.0,8.6,5.8,0.0,NotYet
137,33.0,6.0,8.6,5.9,0.0,NotYet
138,33.0,8.0,8.7,6.0,0.0,NotYet
139,33.0,10.0,8.9,6.0,0.0,NotYet
140,34.0,-10.0,9.0,5.5,0.0,NotYet
141,34.0,-8.0,8.8,5.5,0.0,NotYet
142,34.0,-6.0,8.7,5.5,0.0,NotYet
143,34.0,-4.0,8.7,5.5,0.0,NotYet
144,34.0,-2.0,8.6,5.6,0.0,NotYet
145,34.0,2.0,8.6,5.7,0.0,NotYet
146,34.0,4.0,8.7,5.7,0.0,NotYet
147,34.0,6.0,8.8,5.8,0.0,NotYet
148,34.0,8.0,8.9,5.9,0.0,NotYet
149,34.0,10.0,9.0,5.9,0.0,NotYet
150,35.0,-10.0,9.1,5.4,0.0,NotYet
151,35.0,-8.0,9.0,5.4,0.0,NotYet
152,35.0,-6.0,8.9,5.4,0.0,NotYet
153,35.0,-4.0,8.8,5.5,0.0,NotYet
154,35.0,-2.0,8.7,5.5,0.0,NotYet
155,35.0,2.0,8.8,5.6,0.0,NotYet
156,35.0,4.0,8.8,5.7,0.0,NotYet
157,35.0,6.0,9.0,5.7,0.0,NotYet
158,35.0,8.0,9.0,5.8,0.0,NotYet
159,35.0,10.0,9.2,5.8,0.0,NotYet
160,55.0,-10.0,5.4,9.1,0.0,NotYet
161,55.0,-8.0,5.3,9.0,0.0,NotYet
162,55.0,-6.0,5.3,8.9,0.0,NotYet
163,55.0,-4.0,5.4,8.8,0.0,NotYet
164,55.0,-2.0,5.4,8.8,0.0,NotYet
165,55.0,2.0,5.5,8.8,0.0,NotYet
166,55.0,4.0,5.6,8.9,0.0,NotYet
167,55.0,6.0,5.6,9.0,0.0,NotYet
168,55.0,8.0,5.6,9.2,0.0,NotYet
169,55.0,10.0,5.7,9.3,0.0,NotYet
170,56.0,-10.0,5.4,9.0,0.0,NotYet
171,56.0,-8.0,5.4,8.9,0.0,NotYet
172,56.0,-6.0,5.4,8.8,0.0,NotYet
173,56.0,-4.0,5.4,8.7,0.0,NotYet
174,56.0,-2.0,5.5,8.6,0.0,NotYet
175,56.0,2.0,5.6,8.7,0.0,NotYet
176,56.0,4.0,5.6,8.8,0.0,NotYet
177,56.0,6.0,5.7,8.9,0.0,NotYet
178,56.0,8.0,5.8,9.0,0.0,NotYet
179,56.0,10.0,5.8,9.2,0.0,NotYet
180,57.0,-10.0,5.5,8.8,0.0,NotYet
181,57.0,-8.0,5.5,8.7,0.0,NotYet
182,57.0,-6.0,5.5,8.6,0.0,NotYet
183,57.0,-4.0,5.5,8.6,0.0,NotYet
184,57.0,-2.0,5.6,8.5,0.0,NotYet
185,57.0,2.0,5.7,8.5,0.0,NotYet
186,57.0,4.0,5.8,8.6,0.0,NotYet
187,57.0,6.0,5.8,8.7,0.0,NotYet
188,57.0,8.0,5.9,8.9,0.0,NotYet
189,57.0,10.0,5.9,9.0,0.0,NotYet
190,58.0,-10.0,5.6,8.7,0.0,NotYet
191,58.0,-8.0,5.6,8.6,0.0,NotYet
192,58.0,-6.0,5.6,8.5,0.0,NotYet
193,58.0,-4.0,5.6,8.4,0.0,NotYet
194,58.0,-2.0,5.6,8.4,0.0,NotYet
195,58.0,2.0,5.8,8.4,0.0,NotYet
196,58.0,4.0,5.8,8.5,0.0,NotYet
197,58.0,6.0,5.9,8.6,0.0,NotYet
198,58.0,8.0,6.0,8.7,0.0,NotYet
199,58.0,10.0,6.0,8.9,0.0,NotYet
200,59.0,-10.0,5.6,8.6,0.0,NotYet
201,59.0,-8.0,5.6,8.5,0.0,NotYet
202,59.0,-6.0,5.6,8.4,0.0,NotYet
203,59.0,-4.0,5.6,8.4,0.0,NotYet
204,59.0,-2.0,5.7,8.3,0.0,NotYet
205,59.0,2.0,5.9,8.3,0.0,NotYet
206,59.0,4.0,5.9,8.4,0.0,NotYet
207,59.0,6.0,6.0,8.5,0.0,NotYet
208,59.0,8.0,6.1,8.6,0.0,NotYet
209,59.0,10.0,6.1,8.7,0.0,NotYet
210,60.0,-10.0,5.7,8.5,0.0,NotYet
211,60.0,-8.0,5.7,8.4,0.0,NotYet
212,60.0,-6.0,5.7,8.3,0.0,NotYet
213,60.0,-4.0,5.7,8.2,0.0,NotYet
214,60.0,-2.0,5.8,8.2,0.0,NotYet
215,60.0,2.0,5.9,8.2,0.0,NotYet
216,60.0,4.0,6.0,8.3,0.0,NotYet
217,60.0,6.0,6.1,8.3,0.0,NotYet
218,60.0,8.0,6.2,8.4,0.0,NotYet
219,60.0,10.0,6.2,8.6,0.0,NotYet
220,61.0,-10.0,5.8,8.3,0.0,NotYet
221,61.0,-8.0,5.8,8.2,0.0,NotYet
222,61.0,-6.0,5.8,8.2,0.0,NotYet
223,61.0,-4.0,5.8,8.1,0.0,NotYet
224,61.0,-2.0,5.8,8.1,0.0,NotYet
225,61.0,2.0,6.0,8.1,0.0,NotYet
226,61.0,4.0,6.1,8.1,0.0,NotYet
227,61.0,6.0,6.2,8.2,0.0,NotYet
228,61.0,8.0,6.3,8.3,0.0,NotYet
229,61.0,10.0,6.4,8.4,0.0,NotYet
230,62.0,-10.0,5.9,8.2,0.0,NotYet
231,62.0,-8.0,5.8,8.2,0.0,NotYet
232,62.0,-6.0,5.8,8.1,0.0,NotYet
233,62.0,-4.0,5.9,8.0,0.0,NotYet
234,62.0,-2.0,5.9,8.0,0.0,NotYet
235,62.0,2.0,6.1,8.0,0.0,NotYet
236,62.0,4.0,6.2,8.0,0.0,NotYet
237,62.0,6.0,6.3,8.1,0.0,NotYet
238,62.0,8.0,6.4,8.2,0.0,NotYet
239,62.0,10.0,6.4,8.3,0.0,NotYet
240,63.0,-10.0,6.0,8.1,0.0,NotYet
241,63.0,-8.0,5.9,8.0,0.0,NotYet
242,63.0,-6.0,5.9,8.0,0.0,NotYet
243,63.0,-4.0,5.9,7.9,0.0,NotYet
244,63.0,-2.0,6.0,7.9,0.0,NotYet
245,63.0,2.0,6.2,7.8,0.0,NotYet
246,63.0,4.0,6.3,7.9,0.0,NotYet
247,63.0,6.0,6.4,7.9,0.0,NotYet
248,63.0,8.0,6.5,8.0,0.0,NotYet
249,63.0,10.0,6.5,8.2,0.0,NotYet
250,64.0,-10.0,6.0,8.0,0.0,NotYet
251,64.0,-8.0,6.0,7.9,0.0,NotYet
252,64.0,-6.0,6.0,7.8,0.0,NotYet
253,64.0,-4.0,6.0,7.8,0.0,NotYet
254,64.0,-2.0,6.1,7.7,0.0,NotYet
255,64.0,2.0,6.3,7.7,0.0,NotYet
256,64.0,4.0,6.4,7.8,0.0,NotYet
257,64.0,6.0,6.5,7.8,0.0,NotYet
258,64.0,8.0,6.6,7.9,0.0,NotYet
259,64.0,10.0,6.7,8.0,0.0,NotYet
260,65.0,-10.0,6.1,7.9,0.0,NotYet
261,65.0,-8.0,6.1,7.8,0.0,NotYet
262,65.0,-6.0,6.0,7.8,0.0,NotYet
263,65.0,-4.0,6.1,7.7,0.0,NotYet
264,65.0,-2.0,6.1,7.7,0.0,NotYet
265,65.0,2.0,6.3,7.7,0.0,NotYet
266,65.0,4.0,6.4,7.7,0.0,NotYet
267,65.0,6.0,6.6,7.7,0.0,NotYet
268,65.0,8.0,6.7,7.8,0.0,NotYet
269,65.0,10.0,6.7,7.9,0.0,NotYet
270,66.0,-10.0,6.2,7.8,0.0,NotYet
271,66.0,-8.0,6.1,7.7,0.0,NotYet
272,66.0,-6.0,6.1,7.7,0.0,NotYet
273,66.0,-4.0,6.1,7.6,0.0,NotYet
274,66.0,-2.0,6.2,7.6,0.0,NotYet
275,66.0,2.0,6.4,7.6,0.0,NotYet
276,66.0,4.0,6.5,7.6,0.0,NotYet
277,66.0,6.0,6.6,7.6,0.0,NotYet
278,66.0,8.0,6.7,7.7,0.0,NotYet
279,66.0,10.0,6.8,7.8,0.0,NotYet
280,67.0,-10.0,6.3,7.7,0.0,NotYet
281,67.0,-8.0,6.2,7.6,0.0,NotYet
282,67.0,-6.0,6.2,7.6,0.0,NotYet
283,67.0,-4.0,6.2,7.5,0.0,NotYet
284,67.0,-2.0,6.3,7.5,0.0,NotYet
285,67.0,2.0,6.5,7.5,0.0,NotYet
286,67.0,4.0,6.6,7.5,0.0,NotYet
287,67.0,6.0,6.7,7.5,0.0,NotYet
288,67.0,8.0,6.8,7.6,0.0,NotYet
289,67.0,10.0,6.9,7.7,0.0,NotYet
290,68.0,-10.0,6.3,7.6,0.0,NotYet
291,68.0,-8.0,6.3,7.5,0.0,NotYet
292,68.0,-6.0,6.2,7.5,0.0,NotYet
293,68.0,-4.0,6.3,7.4,0.0,NotYet
294,68.0,-2.0,6.3,7.4,0.0,NotYet
295,68.0,2.0,6.5,7.4,0.0,NotYet
296,68.0,4.0,6.7,7.4,0.0,NotYet
297,68.0,6.0,6.8,7.4,0.0,NotYet
298,68.0,8.0,6.9,7.5,0.0,NotYet
299,68.0,10.0,6.9,7.6,0.0,NotYet
300,69.0,-10.0,6.4,7.5,0.0,NotYet
301,69.0,-8.0,6.4,7.4,0.0,NotYet
302,69.0,-6.0,6.3,7.4,0.0,NotYet
303,69.0,-4.0,6.3,7.4,0.0,NotYet
304,69.0,-2.0,6.4,7.3,0.0,NotYet
305,69.0,2.0,6.6,7.3,0.0,NotYet
306,69.0,4.0,6.7,7.4,0.0,NotYet
307,69.0,6.0,6.8,7.4,0.0,NotYet
308,69.0,8.0,6.9,7.4,0.0,NotYet
309,69.0,10.0,7.0,7.5,0.0,NotYet
310,70.0,-10.0,6.5,7.4,0.0,NotYet
311,70.0,-8.0,6.4,7.4,0.0,NotYet
312,70.0,-6.0,6.4,7.3,0.0,NotYet
313,70.0,-4.0,6.4,7.3,0.0,NotYet
314,70.0,-2.0,6.4,7.3,0.0,NotYet
315,70.0,2.0,6.6,7.3,0.0,NotYet
316,70.0,4.0,6.8,7.3,0.0,NotYet
317,70.0,6.0,6.9,7.3,0.0,NotYet
318,70.0,8.0,7.0,7.3,0.0,NotYet
319,70.0,10.0,7.1,7.4,0.0,NotYet
