cx,cy,cz,a,b,theta,Rt,Rp,A1,A2,status
0.2,1.4,16,7.2,5.9,25,2.3,2.2,0,0,NotYet
0.2,1.4,16,7.2,5.9,25,2.3,2.2,-0.1,-0.3,NotYet
0.2,1.4,16,7.2,5.9,25,2.3,2.2,-0.2,-0.6,NotYet
0.2,1.4,16,7.2,5.9,25,2.3,2.2,-0.3,-0.9,NotYet
0.2,1.4,16,7.2,5.9,25,2.3,2.2,-0.4,-1.2,NotYet
0.2,1.4,16,7.2,5.9,25,2.3,2.2,-0.5,-1.5,NotYet
0.2,1.4,16,7.2,5.9,25,2.3,2.2,-0.6,-1.8,NotYet
