theta,A2,a,E1,machine_type,status,file_name
10.0,-10.0,6.7,-0.536797154461965,3,Done,BTBT_theta=10_A2=-10_a=6.7_1.log
10.0,-8.0,6.8,-0.4815448988229036,3,Done,BTBT_theta=10_A2=-8_a=6.8_1.log
10.0,-6.0,6.8,-0.4816704010590911,3,Done,BTBT_theta=10_A2=-6_a=6.8_1.log
10.0,-4.0,6.8,-0.4818272781558335,3,Done,BTBT_theta=10_A2=-4_a=6.8_1.log
10.0,-2.0,6.8,-0.4820218065287918,3,Done,BTBT_theta=10_A2=-2_a=6.8_1.log
10.0,2.0,6.8,-0.4824736134614795,3,Done,BTBT_theta=10_A2=2_a=6.8_1.log
10.0,4.0,6.8,-0.4827057924121618,3,Done,BTBT_theta=10_A2=4_a=6.8_1.log
10.0,6.0,6.8,-0.4829442463815212,3,Done,BTBT_theta=10_A2=6_a=6.8_1.log
10.0,8.0,6.8,-0.4832078006584197,3,Done,BTBT_theta=10_A2=8_a=6.8_1.log
10.0,10.0,6.9,-0.4336972611490637,3,Done,BTBT_theta=10_A2=10_a=6.9_1.log
20.0,-10.0,7.4,-0.3599397358484566,3,Done,BTBT_theta=20_A2=-10_a=7.4_1.log
20.0,-8.0,7.3,-0.3966867218259722,3,Done,BTBT_theta=20_A2=-8_a=7.3_1.log
20.0,-6.0,7.3,-0.3971385287586599,3,Done,BTBT_theta=20_A2=-6_a=7.3_1.log
20.0,-4.0,7.3,-0.3976091612130403,3,Done,BTBT_theta=20_A2=-4_a=7.3_1.log
20.0,-2.0,7.3,-0.3981237192638218,3,Done,BTBT_theta=20_A2=-2_a=7.3_1.log
20.0,2.0,7.3,-0.3993097133934498,3,Done,BTBT_theta=20_A2=2_a=7.3_1.log
20.0,4.0,7.3,-0.3999874242581427,3,Done,BTBT_theta=20_A2=4_a=7.3_1.log
20.0,6.0,7.3,-0.4007153359707445,3,Done,BTBT_theta=20_A2=6_a=7.3_1.log
20.0,8.0,7.4,-0.3645519344136119,3,Done,BTBT_theta=20_A2=8_a=7.4_1.log
20.0,10.0,7.4,-0.3652547460515052,3,Done,BTBT_theta=20_A2=10_a=7.4_1.log
25.0,-10.0,7.9,-0.2862010360695421,3,Done,BTBT_theta=25_A2=-10_a=7.9_1.log
25.0,-8.0,7.8,-0.3129204118158668,3,Done,BTBT_theta=25_A2=-8_a=7.8_1.log
25.0,-6.0,7.7,-0.342375730862841,3,Done,BTBT_theta=25_A2=-6_a=7.7_1.log
25.0,-4.0,7.7,-0.3428338135126978,3,Done,BTBT_theta=25_A2=-4_a=7.7_1.log
25.0,-2.0,7.7,-0.3433546465821564,3,Done,BTBT_theta=25_A2=-2_a=7.7_1.log
25.0,2.0,7.7,-0.3447100683115423,3,Done,BTBT_theta=25_A2=2_a=7.7_1.log
25.0,4.0,7.7,-0.3455321062356233,3,Done,BTBT_theta=25_A2=4_a=7.7_1.log
25.0,6.0,7.7,-0.3464419962838292,3,Done,BTBT_theta=25_A2=6_a=7.7_1.log
