theta,A2,a,b,z,E,E1,E2,E3,E4,status
45.0,-4.0,4.8,9.9,0.0,-19.96716739702969,-7.792569782352075,-0.1753513945732265,-5.999623110052198,-5.999623110052198,Done
45.0,-2.0,4.8,9.9,0.0,-19.483093632617965,-7.752641320927069,-0.1748180110007524,-5.777817150345072,-5.777817150345072,Done
45.0,2.0,4.8,10.1,0.0,-17.5310292490758,-7.65654443972744,-0.154518062248826,-4.859983373549767,-4.859983373549767,Done
45.0,4.0,4.8,10.3,0.0,-16.439594831783324,-7.614369492512196,-0.137462340760976,-4.343881499255076,-4.343881499255076,Done
45.0,6.0,4.8,10.5,0.0,-15.483200564514846,-7.585460106609389,-0.1229543092194944,-3.887393074342981,-3.887393074342981,Done
45.0,8.0,4.8,10.7,0.0,-14.763503070687875,-7.578180990880355,-0.1106362880673259,-3.537342895870097,-3.537342895870097,Done
45.0,10.0,4.8,10.8,0.0,-14.230960434768347,-7.598549965536222,-0.1058797624427825,-3.2632653533946723,-3.2632653533946723,Done
50.0,-10.0,5.1,9.7,0.0,-19.264651126926765,-7.399742247536778,-0.1636169576086104,-5.850645960890688,-5.850645960890688,Done
50.0,-8.0,5.0,9.6,0.0,-19.697080817539245,-7.232906163670123,-0.1735504406969994,-6.145312106586061,-6.145312106586061,Done
50.0,-6.0,5.0,9.5,0.0,-20.090830792905763,-7.183621528092772,-0.1844942152965814,-6.361357524758205,-6.361357524758205,Done
50.0,-4.0,5.0,9.4,0.0,-20.10489956731908,-7.074848945019767,-0.1966051580384373,-6.416722732130438,-6.416722732130438,Done
50.0,-2.0,5.1,9.3,0.0,-20.066088072722778,-7.104341914877296,-0.2100275966804474,-6.375859280582517,-6.375859280582517,Done
50.0,2.0,5.1,9.5,0.0,-18.175061588641256,-6.712079138727859,-0.1842055607121437,-5.639388444600627,-5.639388444600627,Done
50.0,4.0,5.1,9.6,0.0,-16.98377150343731,-6.497784473700449,-0.173023332376033,-5.156481848680414,-5.156481848680414,Done
50.0,6.0,5.2,9.7,0.0,-16.234148057410493,-6.385930816410109,-0.1628764956258237,-4.84267037268728,-4.84267037268728,Done
50.0,8.0,5.2,9.9,0.0,-15.301235215505583,-6.235127612948418,-0.1443335751537233,-4.460887013701722,-4.460887013701722,Done
50.0,10.0,5.2,10.1,0.0,-14.588653684826568,-6.126505631953478,-0.1285140479449182,-4.166817002464086,-4.166817002464086,Done
55.0,-10.0,5.4,9.1,0.0,-19.917694508330896,-7.0005956867244095,-0.1898154995869845,-6.363641661009751,-6.363641661009751,Done
55.0,-8.0,5.3,9.0,0.0,-20.40009282086976,-6.895845442079008,-0.2033069645985961,-6.6504702070960775,-6.6504702070960775,Done
55.0,-6.0,5.3,8.9,0.0,-20.792311670724303,-6.81628344906494,-0.2181726766284555,-6.878927772515453,-6.878927772515453,Done
55.0,-4.0,5.4,8.8,0.0,-21.09190377104096,-6.770224215229973,-0.2345444129314273,-7.04356757143978,-7.04356757143978,Done
55.0,-2.0,5.4,8.8,0.0,-20.649961027665995,-6.464250339311548,-0.2347326658200472,-6.9754890112672,-6.9754890112672,Done
55.0,2.0,5.5,8.8,0.0,-19.020963893039152,-5.727365346392617,-0.2355672537814825,-6.529015646432526,-6.529015646432526,Done
55.0,4.0,5.6,8.9,0.0,-18.02994989953004,-5.348688161466271,-0.2196912509389221,-6.230785243562423,-6.230785243562423,Done
55.0,6.0,5.6,9.0,0.0,-16.767481356393546,-4.955829251091927,-0.2051894948817789,-5.80323130520992,-5.80323130520992,Done
55.0,8.0,5.6,9.2,0.0,-15.571773601928726,-4.587261252570897,-0.1788403498940169,-5.402835999731906,-5.402835999731906,Done
55.0,10.0,5.7,9.3,0.0,-14.918221936793998,-4.416534606833011,-0.1676392962690442,-5.167024016845971,-5.167024016845971,Done
60.0,-10.0,5.7,8.5,0.0,-20.459059935528785,-6.339890407165512,-0.2261608790140599,-6.946504324674606,-6.946504324674606,Done
60.0,-8.0,5.7,8.4,0.0,-21.2708382466808,-6.500325889093801,-0.2447853756602853,-7.262863490963355,-7.262863490963355,Done
60.0,-6.0,5.7,8.3,0.0,-21.709430085960776,-6.456437839893624,-0.265292402356863,-7.493849921855144,-7.493849921855144,Done
60.0,-4.0,5.7,8.2,0.0,-21.7082127169706,-6.198481029132381,-0.2877572604920715,-7.61098721367307,-7.61098721367307,Done
60.0,-2.0,5.8,8.2,0.0,-21.360490600578487,-5.793128394288942,-0.2882090678904205,-7.639576569199562,-7.639576569199562,Done
60.0,2.0,5.9,8.2,0.0,-19.55852033407428,-4.640561951790005,-0.2894327121321112,-7.314262835076079,-7.314262835076079,Done
60.0,4.0,6.0,8.3,0.0,-18.466376830125228,-4.099397327983752,-0.2677961674053222,-7.049591667368077,-7.049591667368077,Done
60.0,6.0,6.1,8.3,0.0,-17.47540048812516,-3.659286914393306,-0.2686119305435568,-6.773750821594149,-6.773750821594149,Done
60.0,8.0,6.2,8.4,0.0,-16.544464302482083,-3.3532753880135715,-0.2488955662120133,-6.471146674128249,-6.471146674128249,Done
60.0,10.0,6.2,8.6,0.0,-15.396579085383564,-3.0295492538716644,-0.2134161510039121,-6.076806840253994,-6.076806840253994,Done
65.0,-10.0,6.1,7.9,0.0,-20.787762223742902,-5.452867371961474,-0.2862010360695421,-7.524346907855943,-7.524346907855943,Done
65.0,-8.0,6.1,7.8,0.0,-21.628914278699085,-5.722295065643266,-0.3129204118158668,-7.796849400619976,-7.796849400619976,Done
65.0,-6.0,6.0,7.8,0.0,-21.97098880494013,-5.73960179137066,-0.3132906423415988,-7.959048185613938,-7.959048185613938,Done
65.0,-4.0,6.1,7.7,0.0,-21.97344864415936,-5.494044577935711,-0.3428338135126978,-8.068285126355477,-8.068285126355477,Done
65.0,-2.0,6.1,7.7,0.0,-21.432974281022325,-4.971422874601558,-0.3433546465821564,-8.059098379919305,-8.059098379919305,Done
65.0,2.0,6.3,7.7,0.0,-19.63990210648626,-3.6407628192100674,-0.3447100683115423,-7.827214609482326,-7.827214609482326,Done
65.0,4.0,6.4,7.7,0.0,-18.658758845878765,-3.0623115508351475,-0.3455321062356233,-7.625457594403997,-7.625457594403997,Done
65.0,6.0,6.6,7.7,0.0,-18.00317404884845,-2.817099468549713,-0.3464419962838292,-7.419816292007454,-7.419816292007454,Done
65.0,8.0,6.7,7.8,0.0,-17.226912803016603,-2.590380105189979,-0.3179091161582619,-7.159311790834181,-7.159311790834181,Done
65.0,10.0,6.7,7.9,0.0,-16.300933947321028,-2.3408821295015514,-0.291917652124539,-6.8340670828474686,-6.8340670828474686,Done
70.0,-10.0,6.5,7.4,0.0,-20.37386917741969,-4.5900724972598255,-0.3599397358484566,-7.711928472155705,-7.711928472155705,Done
70.0,-8.0,6.4,7.4,0.0,-21.15619217045605,-4.859581767581403,-0.3602660414762795,-7.968172180699184,-7.968172180699184,Done
70.0,-6.0,6.4,7.3,0.0,-21.47467232029885,-4.934663338819519,-0.3971385287586599,-8.071435226360336,-8.071435226360336,Done
70.0,-4.0,6.4,7.3,0.0,-21.376297577749938,-4.690938455052674,-0.3976091612130403,-8.143874980742112,-8.143874980742112,Done
70.0,-2.0,6.4,7.3,0.0,-20.807221308816224,-4.115449033910409,-0.3981237192638218,-8.146824277820997,-8.146824277820997,Done
70.0,2.0,6.6,7.3,0.0,-18.99216118454933,-2.746743047377094,-0.3993097133934498,-7.923054211889394,-7.923054211889394,Done
70.0,4.0,6.8,7.3,0.0,-18.29567528469488,-2.442576400004328,-0.3999874242581427,-7.726555730216205,-7.726555730216205,Done
70.0,6.0,6.9,7.3,0.0,-17.61351543897763,-2.1227910288143903,-0.4007153359707445,-7.545004537096247,-7.545004537096247,Done
70.0,8.0,7.0,7.3,0.0,-17.031211259774864,-1.9784637289121747,-0.4014683479908854,-7.325639591435902,-7.325639591435902,Done
70.0,10.0,7.1,7.4,0.0,-16.615121929207817,-1.9847576541360468,-0.3652547460515052,-7.132554764510132,-7.132554764510132,Done
80.0,-10.0,7.1,6.9,0.0,-17.293159034335986,-3.227754562627524,-0.4318084560800344,-6.816798007814214,-6.816798007814214,Done
80.0,-8.0,7.0,6.9,0.0,-17.993347242474556,-3.377654151292518,-0.4319088577758521,-7.091892116703093,-7.091892116703093,Done
80.0,-6.0,6.9,6.9,0.0,-18.525086665758863,-3.390474180690944,-0.4320406352635473,-7.351285924902186,-7.351285924902186,Done
80.0,-4.0,6.8,6.9,0.0,-18.66477039223537,-3.0764807269442827,-0.4321912373416126,-7.578049213974737,-7.578049213974737,Done
80.0,-2.0,6.9,6.9,0.0,-18.14392454153858,-2.697521162452176,-0.4323606654070318,-7.507021356839687,-7.507021356839687,Done
80.0,2.0,7.1,6.9,0.0,-16.768121417146176,-1.7043297104537487,-0.4327685465104878,-7.31551158009097,-7.31551158009097,Done
80.0,4.0,7.2,6.9,0.0,-16.165692991344258,-1.352440927643329,-0.4329944502096623,-7.1901288067456335,-7.1901288067456335,Done
80.0,6.0,7.3,6.9,0.0,-15.69562525022775,-1.1744602660182863,-0.4332140786573291,-7.043975452776067,-7.043975452776067,Done
80.0,8.0,7.4,6.9,0.0,-15.354391587432474,-1.166999172186479,-0.4334525323938578,-6.8769699414260685,-6.8769699414260685,Done
80.0,10.0,7.4,6.9,0.0,-15.038910934934393,-0.9762863332871348,-0.4336972611490637,-6.814463670249097,-6.814463670249097,Done
