theta,A2,a,b,z,E3,E4,machine_type,status,file_name
30.0,10.0,8.4,6.3,0.0,-6.9070151201449335,-6.9070151201449335,3,Done,BTBT_theta=30_A2=10_a=8.4_b=6.3_z=0.0_3.log
35.0,-10.0,9.1,5.4,0.0,-6.058420796878636,-6.058420796878636,3,Done,BTBT_theta=35_A2=-10_a=9.1_b=5.4_z=0.0_3.log
35.0,-8.0,9.0,5.4,0.0,-6.214250355144031,-6.214250355144031,3,Done,BTBT_theta=35_A2=-8_a=9.0_b=5.4_z=0.0_3.log
35.0,-6.0,8.9,5.4,0.0,-6.313183581922203,-6.313183581922203,3,Done,BTBT_theta=35_A2=-6_a=8.9_b=5.4_z=0.0_3.log
35.0,-4.0,8.8,5.5,0.0,-6.491678801365197,-6.491678801365197,3,Done,BTBT_theta=35_A2=-4_a=8.8_b=5.5_z=0.0_3.log
35.0,-2.0,8.7,5.5,0.0,-6.467369063873775,-6.467369063873775,3,Done,BTBT_theta=35_A2=-2_a=8.7_b=5.5_z=0.0_3.log
35.0,2.0,8.8,5.6,0.0,-6.392425544676371,-6.392425544676371,3,Done,BTBT_theta=35_A2=2_a=8.8_b=5.6_z=0.0_3.log
35.0,4.0,8.8,5.7,0.0,-6.384023186052218,-6.384023186052218,3,Done,BTBT_theta=35_A2=4_a=8.8_b=5.7_z=0.0_3.log
35.0,6.0,9.0,5.7,0.0,-6.2081258576363325,-6.2081258576363325,3,Done,BTBT_theta=35_A2=6_a=9.0_b=5.7_z=0.0_3.log
35.0,8.0,9.0,5.8,0.0,-6.1882024152437225,-6.1882024152437225,3,Done,BTBT_theta=35_A2=8_a=9.0_b=5.8_z=0.0_3.log
35.0,10.0,9.2,5.8,0.0,-6.020174062461592,-6.020174062461592,3,Done,BTBT_theta=35_A2=10_a=9.2_b=5.8_z=0.0_3.log
40.0,-10.0,4.5,11.0,0.0,-4.955264492193237,-4.955264492193237,3,Done,BTBT_theta=40_A2=-10_a=4.5_b=11.0_z=0.0_3.log
40.0,-8.0,4.5,10.7,0.0,-5.373964264523238,-5.373964264523238,3,Done,BTBT_theta=40_A2=-8_a=4.5_b=10.7_z=0.0_3.log
40.0,-6.0,4.5,10.5,0.0,-5.583232574630529,-5.583232574630529,3,Done,BTBT_theta=40_A2=-6_a=4.5_b=10.5_z=0.0_3.log
40.0,-4.0,4.5,10.5,0.0,-5.51137640431989,-5.51137640431989,3,Done,BTBT_theta=40_A2=-4_a=4.5_b=10.5_z=0.0_3.log
40.0,-2.0,4.5,10.5,0.0,-5.204273010138422,-5.204273010138422,3,Done,BTBT_theta=40_A2=-2_a=4.5_b=10.5_z=0.0_3.log
40.0,2.0,4.5,10.7,0.0,-4.098600390483625,-4.098600390483625,3,Done,BTBT_theta=40_A2=2_a=4.5_b=10.7_z=0.0_3.log
40.0,4.0,4.5,11.0,0.0,-3.591653886600397,-3.591653886600397,3,Done,BTBT_theta=40_A2=4_a=4.5_b=11.0_z=0.0_3.log
40.0,6.0,4.5,11.2,0.0,-3.147012850618921,-3.147012850618921,3,Done,BTBT_theta=40_A2=6_a=4.5_b=11.2_z=0.0_3.log
40.0,8.0,4.5,11.4,0.0,-2.8393886234844103,-2.8393886234844103,3,Done,BTBT_theta=40_A2=8_a=4.5_b=11.4_z=0.0_3.log
40.0,10.0,4.5,11.6,0.0,-2.6762987745460123,-2.6762987745460123,3,Done,BTBT_theta=40_A2=10_a=4.5_b=11.6_z=0.0_3.log
45.0,-10.0,4.8,10.3,0.0,-5.402785798883997,-5.402785798883997,3,Done,BTBT_theta=45_A2=-10_a=4.8_b=10.3_z=0.0_3.log
45.0,-8.0,4.8,10.1,0.0,-5.78625716001261,-5.78625716001261,3,Done,BTBT_theta=45_A2=-8_a=4.8_b=10.1_z=0.0_3.log
45.0,-6.0,4.8,10.0,0.0,-5.989300570799969,-5.989300570799969,3,Done,BTBT_theta=45_A2=-6_a=4.8_b=10.0_z=0.0_3.log
45.0,-4.0,4.8,9.9,0.0,-5.999623110052198,-5.999623110052198,3,Done,BTBT_theta=45_A2=-4_a=4.8_b=9.9_z=0.0_3.log
45.0,-2.0,4.8,9.9,0.0,-5.777817150345072,-5.777817150345072,3,Done,BTBT_theta=45_A2=-2_a=4.8_b=9.9_z=0.0_3.log
45.0,2.0,4.8,10.1,0.0,-4.859983373549767,-4.859983373549767,3,Done,BTBT_theta=45_A2=2_a=4.8_b=10.1_z=0.0_3.log
45.0,4.0,4.8,10.3,0.0,-4.343881499255076,-4.343881499255076,3,Done,BTBT_theta=45_A2=4_a=4.8_b=10.3_z=0.0_3.log
45.0,6.0,4.8,10.5,0.0,-3.887393074342981,-3.887393074342981,3,Done,BTBT_theta=45_A2=6_a=4.8_b=10.5_z=0.0_3.log
45.0,8.0,4.8,10.7,0.0,-3.537342895870097,-3.537342895870097,3,Done,BTBT_theta=45_A2=8_a=4.8_b=10.7_z=0.0_3.log
45.0,10.0,4.8,10.8,0.0,-3.2632653533946723,-3.2632653533946723,3,Done,BTBT_theta=45_A2=10_a=4.8_b=10.8_z=0.0_3.log
50.0,-10.0,5.1,9.7,0.0,-5.850645960890688,-5.850645960890688,3,Done,BTBT_theta=50_A2=-10_a=5.1_b=9.7_z=0.0_3.log
50.0,-8.0,5.0,9.6,0.0,-6.145312106586061,-6.145312106586061,3,Done,BTBT_theta=50_A2=-8_a=5.0_b=9.6_z=0.0_3.log
50.0,-6.0,5.0,9.5,0.0,-6.361357524758205,-6.361357524758205,3,Done,BTBT_theta=50_A2=-6_a=5.0_b=9.5_z=0.0_3.log
50.0,-4.0,5.0,9.4,0.0,-6.416722732130438,-6.416722732130438,3,Done,BTBT_theta=50_A2=-4_a=5.0_b=9.4_z=0.0_3.log
50.0,-2.0,5.1,9.3,0.0,-6.375859280582517,-6.375859280582517,3,Done,BTBT_theta=50_A2=-2_a=5.1_b=9.3_z=0.0_3.log
50.0,2.0,5.1,9.5,0.0,-5.639388444600627,-5.639388444600627,3,Done,BTBT_theta=50_A2=2_a=5.1_b=9.5_z=0.0_3.log
50.0,4.0,5.1,9.6,0.0,-5.156481848680414,-5.156481848680414,3,Done,BTBT_theta=50_A2=4_a=5.1_b=9.6_z=0.0_3.log
50.0,6.0,5.2,9.7,0.0,-4.84267037268728,-4.84267037268728,3,Done,BTBT_theta=50_A2=6_a=5.2_b=9.7_z=0.0_3.log
50.0,8.0,5.2,9.9,0.0,-4.460887013701722,-4.460887013701722,3,Done,BTBT_theta=50_A2=8_a=5.2_b=9.9_z=0.0_3.log
50.0,10.0,5.2,10.1,0.0,-4.166817002464086,-4.166817002464086,3,Done,BTBT_theta=50_A2=10_a=5.2_b=10.1_z=0.0_3.log
55.0,-10.0,5.4,9.1,0.0,-6.363641661009751,-6.363641661009751,3,Done,BTBT_theta=55_A2=-10_a=5.4_b=9.1_z=0.0_3.log
55.0,-8.0,5.3,9.0,0.0,-6.6504702070960775,-6.6504702070960775,3,Done,BTBT_theta=55_A2=-8_a=5.3_b=9.0_z=0.0_3.log
55.0,-6.0,5.3,8.9,0.0,-6.878927772515453,-6.878927772515453,3,Done,BTBT_theta=55_A2=-6_a=5.3_b=8.9_z=0.0_3.log
55.0,-4.0,5.4,8.8,0.0,-7.04356757143978,-7.04356757143978,3,Done,BTBT_theta=55_A2=-4_a=5.4_b=8.8_z=0.0_3.log
55.0,-2.0,5.4,8.8,0.0,-6.9754890112672,-6.9754890112672,3,Done,BTBT_theta=55_A2=-2_a=5.4_b=8.8_z=0.0_3.log
55.0,2.0,5.5,8.8,0.0,-6.529015646432526,-6.529015646432526,3,Done,BTBT_theta=55_A2=2_a=5.5_b=8.8_z=0.0_3.log
55.0,4.0,5.6,8.9,0.0,-6.230785243562423,-6.230785243562423,3,Done,BTBT_theta=55_A2=4_a=5.6_b=8.9_z=0.0_3.log
55.0,6.0,5.6,9.0,0.0,-5.80323130520992,-5.80323130520992,3,Done,BTBT_theta=55_A2=6_a=5.6_b=9.0_z=0.0_3.log
55.0,8.0,5.6,9.2,0.0,-5.402835999731906,-5.402835999731906,3,Done,BTBT_theta=55_A2=8_a=5.6_b=9.2_z=0.0_3.log
55.0,10.0,5.7,9.3,0.0,-5.167024016845971,-5.167024016845971,3,Done,BTBT_theta=55_A2=10_a=5.7_b=9.3_z=0.0_3.log
60.0,-10.0,5.7,8.5,0.0,-6.946504324674606,-6.946504324674606,3,Done,BTBT_theta=60_A2=-10_a=5.7_b=8.5_z=0.0_3.log
60.0,-8.0,5.7,8.4,0.0,-7.262863490963355,-7.262863490963355,3,Done,BTBT_theta=60_A2=-8_a=5.7_b=8.4_z=0.0_3.log
