theta,z1,z2,a,b,status
5,0.0,0.0,6.3,7.3,NotYet
10,0.0,0.0,6.4,7.1,NotYet
15,0.0,0.0,6.5,6.8,NotYet
20,0.0,0.0,6.8,6.3,NotYet
25,0.0,0.0,7.3,6.0,NotYet
30,0.0,0.0,7.8,5.7,NotYet
35,0.0,0.0,8.6,5.3,NotYet
40,0.0,0.0,9.3,5.0,NotYet
45,0.0,0.0,10.0,4.7,NotYet
