a,b,theta,A1,A2,status
5.9,8.3,73,-13,33,NotYet
5.9,8.3,72,-12,33,NotYet
5.9,8.3,71,-11,33,NotYet
5.9,8.3,70,-9,33,NotYet
5.9,8.4,69,-7,33,NotYet
6,8.3,68,-5,33,NotYet
