a,b,theta,A1,A2,status
5.9,8.6,65,-1,33,NotYet
5.8,8.7,65,-3,33,NotYet
5.8,8.8,65,-5,33,NotYet
5.7,8.9,65,-7,33,NotYet
5.7,9.1,65,-9,33,NotYet
