X,Y,Z,R
0.0,0.42471894873848876,-1.782272019307177,1.7
0.0,-0.963830844051355,-2.1130226045050726,1.7
0.0,1.3735187838022422,-2.8228945024289414,1.7
0.0,-1.395123265415506,-3.443404425437645,1.7
0.0,0.9405071692372848,-4.145891101857379,1.7
0.0,-0.4333313913389437,-4.454922948315657,1.7
0.0,0.593198284357535,-0.35958417694714095,1.7
0.0,-0.5931994687936584,0.35958431638892935,1.7
0.0,-2.004076861741998,-0.6823211776476524,1.8
0.0,2.004075197525508,0.6823223030627503,1.8
0.0,0.9638308133023964,2.113021696684431,1.7
0.0,-0.42471954485360325,1.782272105826012,1.7
0.0,1.395123413072491,3.443403608460654,1.7
0.0,0.4333320203767018,4.4549225654505396,1.7
0.0,-1.3735187807061726,2.82289497370953,1.7
0.0,-0.9405066471393304,4.145891434759886,1.7
0.0,2.459662741677331,3.6853062041694624,1.2
0.0,-1.6740360425138832,4.954474792226976,1.2
0.0,-2.439686484358483,2.585243363943082,1.2
0.0,2.4396863876597723,-2.5852423127405135,1.2
0.0,1.6740368218704835,-4.954474232668253,1.2
0.0,-2.4596625241520087,-3.685307205886122,1.2
-2.4280470284906884e-05,0.8835322870666389,5.921005320840847,1.7
2.220446049250313e-16,2.417531301341121,5.943402689562373,1.7
0.8907519366742244,2.827394231846866,5.441523992393287,1.2
-0.8906534138665567,2.827376344762062,5.44132013068937,1.2
-0.0001200589102671179,2.790093522782656,6.9820497094965885,1.2
1.2642551890592517,0.3242307776530218,6.586207449797611,1.7
2.176515571527088,0.6983907788160068,6.0951863984012915,1.2
1.308682069343576,0.6232826085376831,7.647428963706609,1.2
1.2858019782780763,-0.7763988396315542,6.548038205525538,1.2
-1.2642545728216912,0.3242458165115073,6.586230330462175,1.7
-1.3085979564139212,0.6233302145811461,7.647430437984749,1.2
-2.1765408778940203,0.6983426199374568,6.095219893725353,1.2
-1.2857637453772925,-0.7763896048032093,6.54811634574153,1.2
2.4280470284906884e-05,-0.8835322870666389,-5.921005320840847,1.7
-2.220446049250313e-16,-2.417531301341121,-5.943402689562373,1.7
-0.8907519366742244,-2.827394231846866,-5.441523992393287,1.2
0.8906534138665567,-2.827376344762062,-5.44132013068937,1.2
0.0001200589102671179,-2.790093522782656,-6.9820497094965885,1.2
-1.2642551890592517,-0.3242307776530218,-6.586207449797611,1.7
-2.176515571527088,-0.6983907788160068,-6.0951863984012915,1.2
-1.308682069343576,-0.6232826085376831,-7.647428963706609,1.2
-1.2858019782780763,0.7763988396315542,-6.548038205525538,1.2
1.2642545728216912,-0.3242458165115073,-6.586230330462175,1.7
1.3085979564139212,-0.6233302145811461,-7.647430437984749,1.2
2.1765408778940203,-0.6983426199374568,-6.095219893725353,1.2
1.2857637453772925,0.7763896048032093,-6.54811634574153,1.2
