theta,phi,z,r,status
0.0,0.0,0.6,4.1,NotYet
0.0,5.0,0.6,4.1,NotYet
0.0,10.0,0.6,4.0,NotYet
0.0,15.0,0.6,4.0,NotYet
0.0,20.0,0.6,4.2,NotYet
0.0,25.0,0.6,4.5,NotYet
0.0,30.0,0.6,4.7,NotYet
0.0,35.0,0.6,4.8,NotYet
0.0,40.0,0.6,5.0,NotYet
0.0,45.0,0.6,5.1,NotYet
0.0,50.0,0.6,5.1,NotYet
0.0,55.0,0.6,5.1,NotYet
0.0,60.0,0.6,5.0,NotYet
0.0,65.0,0.6,4.9,NotYet
0.0,70.0,0.6,4.7,NotYet
0.0,75.0,0.6,4.5,NotYet
0.0,80.0,0.6,4.4,NotYet
0.0,85.0,0.6,4.4,NotYet
0.0,90.0,0.6,4.5,NotYet
5.0,0.0,0.6,4.3,NotYet
5.0,5.0,0.6,4.3,NotYet
5.0,10.0,0.6,4.2,NotYet
5.0,15.0,0.6,4.1,NotYet
5.0,20.0,0.6,4.2,NotYet
5.0,25.0,0.6,4.5,NotYet
5.0,30.0,0.6,4.7,NotYet
5.0,35.0,0.6,4.8,NotYet
5.0,40.0,0.6,5.0,NotYet
5.0,45.0,0.6,5.0,NotYet
5.0,50.0,0.6,5.1,NotYet
5.0,55.0,0.6,5.1,NotYet
5.0,60.0,0.6,5.0,NotYet
5.0,65.0,0.6,4.9,NotYet
5.0,70.0,0.6,4.7,NotYet
5.0,75.0,0.6,4.5,NotYet
5.0,80.0,0.6,4.5,NotYet
5.0,85.0,0.6,4.6,NotYet
5.0,90.0,0.6,4.6,NotYet
10.0,0.0,0.6,4.4,NotYet
10.0,5.0,0.6,4.4,NotYet
10.0,10.0,0.6,4.4,NotYet
10.0,15.0,0.6,4.3,NotYet
10.0,20.0,0.6,4.2,NotYet
10.0,25.0,0.6,4.4,NotYet
10.0,30.0,0.6,4.6,NotYet
10.0,35.0,0.6,4.8,NotYet
10.0,40.0,0.6,4.9,NotYet
10.0,45.0,0.6,5.0,NotYet
10.0,50.0,0.6,5.0,NotYet
10.0,55.0,0.6,5.0,NotYet
10.0,60.0,0.6,5.0,NotYet
10.0,65.0,0.6,4.9,NotYet
10.0,70.0,0.6,4.7,NotYet
10.0,75.0,0.6,4.6,NotYet
10.0,80.0,0.6,4.7,NotYet
10.0,85.0,0.6,4.7,NotYet
10.0,90.0,0.6,4.7,NotYet
15.0,0.0,0.6,4.6,NotYet
15.0,5.0,0.6,4.6,NotYet
15.0,10.0,0.6,4.5,NotYet
15.0,15.0,0.6,4.4,NotYet
15.0,20.0,0.6,4.3,NotYet
15.0,25.0,0.6,4.4,NotYet
15.0,30.0,0.6,4.6,NotYet
15.0,35.0,0.6,4.8,NotYet
15.0,40.0,0.6,4.9,NotYet
15.0,45.0,0.6,5.0,NotYet
15.0,50.0,0.6,5.0,NotYet
15.0,55.0,0.6,5.0,NotYet
15.0,60.0,0.6,4.9,NotYet
15.0,65.0,0.6,4.8,NotYet
15.0,70.0,0.6,4.7,NotYet
15.0,75.0,0.6,4.7,NotYet
15.0,80.0,0.6,4.8,NotYet
15.0,85.0,0.6,4.8,NotYet
15.0,90.0,0.6,4.8,NotYet
20.0,0.0,0.6,4.7,NotYet
20.0,5.0,0.6,4.7,NotYet
20.0,10.0,0.6,4.6,NotYet
20.0,15.0,0.6,4.5,NotYet
20.0,20.0,0.6,4.4,NotYet
20.0,25.0,0.6,4.4,NotYet
20.0,30.0,0.6,4.5,NotYet
20.0,35.0,0.6,4.7,NotYet
20.0,40.0,0.6,4.8,NotYet
20.0,45.0,0.6,4.9,NotYet
20.0,50.0,0.6,4.9,NotYet
20.0,55.0,0.6,4.9,NotYet
20.0,60.0,0.6,4.8,NotYet
20.0,65.0,0.6,4.8,NotYet
20.0,70.0,0.6,4.6,NotYet
20.0,75.0,0.6,4.7,NotYet
20.0,80.0,0.6,4.8,NotYet
20.0,85.0,0.6,4.9,NotYet
20.0,90.0,0.6,4.9,NotYet
25.0,0.0,0.6,4.8,NotYet
25.0,5.0,0.6,4.8,NotYet
25.0,10.0,0.6,4.7,NotYet
25.0,15.0,0.6,4.6,NotYet
25.0,20.0,0.6,4.5,NotYet
25.0,25.0,0.6,4.3,NotYet
25.0,30.0,0.6,4.5,NotYet
25.0,35.0,0.6,4.6,NotYet
25.0,40.0,0.6,4.7,NotYet
25.0,45.0,0.6,4.8,NotYet
25.0,50.0,0.6,4.8,NotYet
25.0,55.0,0.6,4.8,NotYet
25.0,60.0,0.6,4.8,NotYet
25.0,65.0,0.6,4.7,NotYet
25.0,70.0,0.6,4.6,NotYet
25.0,75.0,0.6,4.8,NotYet
25.0,80.0,0.6,4.9,NotYet
25.0,85.0,0.6,5.0,NotYet
25.0,90.0,0.6,5.0,NotYet
30.0,0.0,0.6,4.9,NotYet
30.0,5.0,0.6,4.9,NotYet
30.0,10.0,0.6,4.8,NotYet
30.0,15.0,0.6,4.7,NotYet
30.0,20.0,0.6,4.6,NotYet
30.0,25.0,0.6,4.4,NotYet
30.0,30.0,0.6,4.4,NotYet
30.0,35.0,0.6,4.5,NotYet
30.0,40.0,0.6,4.6,NotYet
30.0,45.0,0.6,4.7,NotYet
30.0,50.0,0.6,4.7,NotYet
30.0,55.0,0.6,4.7,NotYet
30.0,60.0,0.6,4.7,NotYet
30.0,65.0,0.6,4.6,NotYet
30.0,70.0,0.6,4.7,NotYet
30.0,75.0,0.6,4.8,NotYet
30.0,80.0,0.6,5.0,NotYet
30.0,85.0,0.6,5.0,NotYet
30.0,90.0,0.6,5.1,NotYet
35.0,0.0,0.6,5.0,NotYet
35.0,5.0,0.6,5.0,NotYet
35.0,10.0,0.6,4.9,NotYet
35.0,15.0,0.6,4.8,NotYet
35.0,20.0,0.6,4.7,NotYet
35.0,25.0,0.6,4.5,NotYet
35.0,30.0,0.6,4.3,NotYet
35.0,35.0,0.6,4.4,NotYet
35.0,40.0,0.6,4.5,NotYet
35.0,45.0,0.6,4.6,NotYet
35.0,50.0,0.6,4.6,NotYet
35.0,55.0,0.6,4.6,NotYet
35.0,60.0,0.6,4.5,NotYet
35.0,65.0,0.6,4.5,NotYet
35.0,70.0,0.6,4.7,NotYet
35.0,75.0,0.6,4.9,NotYet
35.0,80.0,0.6,5.0,NotYet
35.0,85.0,0.6,5.1,NotYet
35.0,90.0,0.6,5.1,NotYet
40.0,0.0,0.6,5.1,NotYet
40.0,5.0,0.6,5.0,NotYet
40.0,10.0,0.6,5.0,NotYet
40.0,15.0,0.6,4.9,NotYet
40.0,20.0,0.6,4.7,NotYet
40.0,25.0,0.6,4.5,NotYet
