a,b,theta,A1,A2,phi_r,status
5.8,8.3,59.5,5,-11,84,NotYet
5.8,8.3,60.5,5,-11,84,NotYet
5.8,8.3,62.5,5,-11,84,NotYet
5.8,8.3,63.5,5,-11,84,NotYet
