theta,phi,r,z,status
55,30,4.3,1.3,InProgress
55,35,4.3,1.3,InProgress
55,40,4.3,1.3,InProgress
55,45,4.3,1.3,InProgress
55,50,4.2,1.3,InProgress
55,55,4.1,1.3,InProgress
55,60,4.3,1.3,InProgress
55,65,4.5,1.3,InProgress
55,70,4.7,1.3,InProgress
55,75,4.9,1.3,InProgress
55,80,5.0,1.3,InProgress
55,85,5.1,1.3,InProgress
55,90,5.1,1.3,InProgress
60,0,4.8,1.3,InProgress
60,5,4.8,1.3,InProgress
60,10,4.7,1.3,InProgress
60,15,4.6,1.3,InProgress
60,20,4.4,1.3,InProgress
60,25,4.3,1.3,InProgress
60,30,4.4,1.3,InProgress
60,35,4.4,1.3,InProgress
60,40,4.5,1.3,InProgress
60,45,4.4,1.3,InProgress
60,50,4.4,1.3,InProgress
60,55,4.3,1.3,InProgress
60,60,4.3,1.3,InProgress
60,65,4.5,1.3,InProgress
60,70,4.7,1.3,InProgress
60,75,4.8,1.3,InProgress
60,80,4.9,1.3,InProgress
60,85,5.0,1.3,InProgress
60,90,5.0,1.3,InProgress
65,0,4.7,1.3,InProgress
65,5,4.7,1.3,InProgress
65,10,4.6,1.3,InProgress
65,15,4.5,1.3,InProgress
65,20,4.4,1.3,InProgress
65,25,4.4,1.3,InProgress
65,30,4.5,1.3,InProgress
65,35,4.6,1.3,InProgress
65,40,4.6,1.3,InProgress
65,45,4.5,1.3,InProgress
65,50,4.5,1.3,InProgress
65,55,4.3,1.3,InProgress
65,60,4.2,1.3,InProgress
65,65,4.4,1.3,InProgress
65,70,4.6,1.3,InProgress
65,75,4.7,1.3,InProgress
65,80,4.8,1.3,InProgress
65,85,4.9,1.3,InProgress
65,90,4.9,1.3,InProgress
70,0,4.7,1.3,InProgress
70,5,4.7,1.3,InProgress
70,10,4.6,1.3,InProgress
70,15,4.5,1.3,InProgress
70,20,4.4,1.3,InProgress
70,25,4.5,1.3,InProgress
70,30,4.6,1.3,InProgress
70,35,4.6,1.3,InProgress
70,40,4.7,1.3,InProgress
70,45,4.6,1.3,InProgress
70,50,4.5,1.3,InProgress
70,55,4.4,1.3,InProgress
70,60,4.3,1.3,InProgress
70,65,4.3,1.3,InProgress
70,70,4.5,1.3,InProgress
70,75,4.6,1.3,InProgress
70,80,4.7,1.3,InProgress
70,85,4.8,1.3,InProgress
70,90,4.8,1.3,InProgress
75,0,4.6,1.3,InProgress
75,5,4.6,1.3,InProgress
75,10,4.5,1.3,InProgress
75,15,4.4,1.3,InProgress
75,20,4.4,1.3,InProgress
75,25,4.5,1.3,InProgress
75,30,4.7,1.3,InProgress
75,35,4.7,1.3,InProgress
75,40,4.7,1.3,InProgress
75,45,4.7,1.3,InProgress
75,50,4.6,1.3,InProgress
75,55,4.5,1.3,InProgress
75,60,4.3,1.3,InProgress
75,65,4.2,1.3,InProgress
75,70,4.4,1.3,InProgress
75,75,4.5,1.3,InProgress
75,80,4.6,1.3,InProgress
75,85,4.6,1.3,InProgress
75,90,4.7,1.3,InProgress
80,0,4.5,1.3,InProgress
80,5,4.5,1.3,InProgress
80,10,4.4,1.3,InProgress
80,15,4.4,1.3,InProgress
80,20,4.4,1.3,InProgress
80,25,4.6,1.3,InProgress
80,30,4.7,1.3,InProgress
80,35,4.8,1.3,InProgress
80,40,4.8,1.3,InProgress
80,45,4.7,1.3,InProgress
80,50,4.7,1.3,InProgress
80,55,4.5,1.3,InProgress
80,60,4.4,1.3,InProgress
80,65,4.1,1.3,InProgress
80,70,4.3,1.3,InProgress
80,75,4.4,1.3,InProgress
80,80,4.4,1.3,InProgress
80,85,4.5,1.3,InProgress
80,90,4.5,1.3,InProgress
85,0,4.3,1.3,InProgress
85,5,4.3,1.3,InProgress
85,10,4.3,1.3,InProgress
85,15,4.3,1.3,InProgress
85,20,4.5,1.3,InProgress
85,25,4.6,1.3,InProgress
85,30,4.7,1.3,InProgress
85,35,4.8,1.3,InProgress
85,40,4.8,1.3,InProgress
85,45,4.8,1.3,InProgress
85,50,4.7,1.3,InProgress
85,55,4.6,1.3,InProgress
85,60,4.4,1.3,InProgress
85,65,4.1,1.3,InProgress
85,70,4.1,1.3,InProgress
85,75,4.2,1.3,InProgress
85,80,4.3,1.3,InProgress
85,85,4.3,1.3,InProgress
85,90,4.3,1.3,InProgress
90,0,4.2,1.3,InProgress
90,5,4.2,1.3,InProgress
90,10,4.2,1.3,InProgress
90,15,4.3,1.3,InProgress
90,20,4.5,1.3,InProgress
90,25,4.6,1.3,InProgress
90,30,4.7,1.3,InProgress
90,35,4.8,1.3,InProgress
90,40,4.8,1.3,InProgress
90,45,4.8,1.3,InProgress
90,50,4.7,1.3,InProgress
90,55,4.6,1.3,InProgress
90,60,4.4,1.3,InProgress
90,65,4.1,1.3,InProgress
90,70,4.0,1.3,InProgress
90,75,4.1,1.3,InProgress
90,80,4.1,1.3,InProgress
90,85,4.1,1.3,InProgress
90,90,4.2,1.3,InProgress
