a,b,theta,status
4,10,35,NotYet
4,10.5,35,NotYet
4,11,35,NotYet
4,11.5,35,NotYet
4,12,35,NotYet
4.5,9.5,35,NotYet
4.5,10,35,NotYet
4.5,10.5,35,NotYet
4.5,11,35,NotYet
4.5,11.5,35,NotYet
5,9,35,NotYet
5,9.5,35,NotYet
5,10,35,NotYet
5,10.5,35,NotYet
5,11,35,NotYet
5.5,8.5,35,NotYet
5.5,9,35,NotYet
5.5,9.5,35,NotYet
5.5,10,35,NotYet
5.5,10.5,35,NotYet
6,8,35,NotYet
6,8.5,35,NotYet
6,9,35,NotYet
6,9.5,35,NotYet
6,10,35,NotYet
6.5,7.5,35,NotYet
6.5,8,35,NotYet
6.5,8.5,35,NotYet
6.5,9,35,NotYet
6.5,9.5,35,NotYet
7,7,35,NotYet
7,7.5,35,NotYet
7,8,35,NotYet
7,8.5,35,NotYet
7,9,35,NotYet
7.5,6.5,35,NotYet
7.5,7,35,NotYet
7.5,7.5,35,NotYet
7.5,8,35,NotYet
7.5,8.5,35,NotYet
8,6,35,NotYet
8,6.5,35,NotYet
8,7,35,NotYet
8,7.5,35,NotYet
8,8,35,NotYet
8.5,5.5,35,NotYet
8.5,6,35,NotYet
8.5,6.5,35,NotYet
8.5,7,35,NotYet
8.5,7.5,35,NotYet
9,5,35,NotYet
9,5.5,35,NotYet
9,6,35,NotYet
9,6.5,35,NotYet
9,7,35,NotYet
