a,b,theta,R3,R4,status
7.2,6.0,25.0,-2.3,0.0,NotYet
7.2,6.0,25.0,-2.0,-1.8,NotYet
7.2,6.0,25.0,-0.2,1.8,NotYet
7.2,6.0,25.0,0.0,0.0,NotYet
7.2,6.0,25.0,0.2,-1.8,NotYet
7.2,6.0,25.0,2.0,1.8,NotYet
7.2,6.0,25.0,2.3,0.0,NotYet
